WICS중분류,KRX업종분류
소재,화학
소재,비금속광물
소재,비금속
소재,철강금속
소재,금속
소재,종이·목재
소재,종이목재
자본재,기타제조
자본재,건설업
자본재,건설
자본재,기계·장비
자본재,기타제조업
자본재,기계
상업서비스와공급품,서비스업
상업서비스와공급품,기타서비스
운송,운수장비
운송,운송장비·부품
운송,운수창고업
운송,운송
내구소비재와의류,섬유의복
내구소비재와의류,섬유·의류
소매(유통),유통업
소매(유통),유통
"식품,음료,담배",음식료·담배
"식품,음료,담배",음식료품
"식품,음료,담배","농업, 임업 및 어업"
건강관리장비와서비스,의료·정밀기기
건강관리장비와서비스,의료정밀
제약과생물공학,의약품
제약과생물공학,제약
다각화된금융,금융
다각화된금융,기타금융
소프트웨어와서비스,소프트웨어
소프트웨어와서비스,정보기기
소프트웨어와서비스,컴퓨터서비스
기술하드웨어와장비,IT부품
기술하드웨어와장비,통신장비
반도체와반도체장비,반도체
전자와 전기제품,전기전자
전자와 전기제품,일반전기전자
전기통신서비스,통신업
전기통신서비스,인터넷
미디어와엔터테인먼트,오락·문화
미디어와엔터테인먼트,디지털컨텐츠
미디어와엔터테인먼트,출판·매체복제
미디어와엔터테인먼트,방송서비스
유틸리티,전기가스업
