회사명,거래소코드,회계년도,[제조]1주당매출액
(주)BNK금융지주,138930,2020/12,
(주)CMG제약,058820,2020/12,464.1
(주)DB하이텍,000990,2020/12,21026.63
(주)ES큐브,050120,2020/12,363.68
(주)HJ중공업,097230,2020/12,20350.03
(주)JB금융지주,175330,2020/12,
(주)KB금융지주,105560,2020/12,
(주)MH에탄올,023150,2020/12,6949.54
(주)SH에너지화학,002360,2020/12,821.98
(주)SIMPAC,009160,2020/12,4158.48
(주)SNT에너지,100840,2020/12,30638.08
(주)SNT홀딩스,036530,2020/12,1552.37
(주)STX,011810,2020/12,39968.87
(주)TCC스틸,002710,2020/12,14062.4
(주)가비아,079940,2020/12,4735.41
(주)가온칩스,399720,2020/12,427457.65
(주)강스템바이오텍,217730,2020/12,12.2
(주)강원랜드,035250,2020/12,2231.81
(주)강원에너지,114190,2020/12,2112.11
(주)갤럭시아에스엠,011420,2020/12,709.25
(주)경농,002100,2020/12,7636.79
(주)경동나비엔,009450,2020/12,58583.49
(주)경동도시가스,267290,2020/12,184215.2
(주)경동인베스트,012320,2020/12,3256.04
(주)경방,000050,2020/12,8245.84
(주)경보제약,214390,2020/12,9005.16
(주)경인양행,012610,2020/12,5245.59
(주)고려시멘트,198440,2020/12,2194.58
(주)고바이오랩,348150,2020/12,646.82
(주)고영테크놀러지,098460,2020/12,11440.25
(주)골드앤에스,035290,2020/12,1071.8
(주)골드퍼시픽,038530,2020/12,321.14
(주)골프존,215000,2020/12,44782.93
(주)골프존뉴딘홀딩스,121440,2020/12,1341.86
(주)공구우먼,366030,2020/12,3268341.05
(주)광림,014200,2020/12,1969.93
(주)광명전기,017040,2020/12,2596.73
(주)광무,029480,2020/12,403.76
(주)광주신세계,037710,2020/12,92192.78
(주)구영테크,053270,2020/12,3214.39
(주)국동,005320,2020/12,4301.05
(주)국보,001140,2020/12,1296.07
(주)국보디자인,066620,2020/12,33841.43
(주)국순당,043650,2020/12,2819.17
(주)국영지앤엠,006050,2020/12,1845.12
(주)국전약품,307750,2020/12,2092.04
(주)그래디언트,035080,2020/12,2891.99
(주)그리티,204020,2020/12,5949.04
(주)그린플러스,186230,2020/12,11500.82
(주)글로벌스탠다드테크놀로지,083450,2020/12,16543.74
(주)금비,008870,2020/09,79341.22
(주)금양,001570,2020/12,2745.37
(주)금호에이치티,214330,2020/12,7032.26
(주)금화피에스시,036190,2020/12,34298.36
(주)기가레인,049080,2020/12,724.44
(주)기산텔레콤,035460,2020/12,1837.58
(주)까뮤이앤씨,013700,2020/12,3581.85
(주)까스텔바작,308100,2020/12,10176.34
(주)나노,187790,2020/12,1408.64
(주)나노브릭,286750,2020/12,1897.31
(주)나노신소재,121600,2020/12,4444.96
(주)나노엔텍,039860,2020/12,1028.13
(주)나래나노텍,137080,2020/12,9612.71
(주)나무가,190510,2020/12,56548.24
(주)나스미디어,089600,2020/12,9372.99
(주)나이벡,138610,2020/12,641.94
(주)나이스디앤비,130580,2020/12,3915.65
(주)나이스홀딩스,034310,2020/12,1028.99
(주)나인테크,267320,2020/12,1671.87
(주)남선알미늄,008350,2020/12,2429.92
(주)남성,004270,2020/12,1848.76
(주)내츄럴엔도텍,168330,2020/12,642.27
(주)네오리진,094860,2020/12,187.06
(주)네오셈,253590,2020/12,1260.31
(주)네오오토,212560,2020/12,14920.63
(주)네오위즈,095660,2020/12,10230.52
(주)네오위즈홀딩스,042420,2020/12,111.74
(주)네오이뮨텍,950220,2020/12,0
(주)네오크레마,311390,2020/12,3030.44
(주)네오티스,085910,2020/12,3462.04
(주)네오팜,092730,2020/12,9925.99
(주)네오펙트,290660,2020/12,222.2
(주)네온테크,306620,2020/12,908.83
(주)네이블커뮤니케이션즈,153460,2020/12,1812.72
(주)네이처셀,007390,2020/12,273.24
(주)네패스,033640,2020/12,11657.1
(주)네패스아크,330860,2020/12,8310.19
(주)넥센,005720,2020/12,6183.64
(주)넥스턴바이오사이언스,089140,2020/12,817.57
(주)넥스트아이,137940,2020/12,238.51
(주)넥스트엔터테인먼트월드,160550,2020/12,2302.05
(주)넥스트칩,396270,2020/12,
(주)넥스틴,348210,2020/12,18556.65
(주)넥슨게임즈,225570,2020/12,2822.73
(주)넵튠,217270,2020/12,320.62
(주)노랑풍선,104620,2020/12,4177.71
(주)노루페인트,090350,2020/12,27122.64
(주)노루홀딩스,000320,2020/12,1414.96
(주)노바렉스,194700,2020/12,24745.6
(주)노바텍,285490,2020/12,3770.99
(주)노블엠앤비,106520,2020/12,308.23
(주)노터스,278650,2020/12,5765.1
(주)녹십자,006280,2020/12,105057.68
(주)녹십자엠에스,142280,2020/12,5255.92
(주)녹십자웰빙,234690,2020/12,4258.78
(주)녹십자홀딩스,005250,2020/12,1590.22
(주)녹원씨엔아이,065560,2020/12,974.07
(주)농심,004370,2020/12,346181.83
(주)농심홀딩스,072710,2020/12,4159.55
(주)누리플랜,069140,2020/12,6606.35
(주)누리플렉스,040160,2020/12,5587.93
(주)누보,332290,2020/12,
(주)뉴로메카,348340,2020/12,28576.23
(주)뉴보텍,060260,2020/12,1269.33
(주)뉴인텍,012340,2020/12,1592.69
(주)뉴트리,270870,2020/12,18858.66
(주)뉴파워프라즈마,144960,2020/12,1991.26
(주)뉴프렉스,085670,2020/12,7441.71
(주)다나와,119860,2020/12,12318.02
(주)다날,064260,2020/12,2909.55
(주)다보링크,340360,2020/12,
(주)다산네트웍스,039560,2020/12,987.57
(주)다우기술,023590,2020/12,5486.53
(주)다우데이타,032190,2020/12,5213.89
(주)다원시스,068240,2020/12,9190.12
(주)다이나믹디자인,145210,2020/12,567.74
(주)대교,019680,2020/12,5633.8
(주)대구백화점,006370,2020/12,7865.62
(주)대덕,008060,2020/12,71.24
(주)대동,000490,2020/12,26866.11
(주)대동스틸,048470,2020/12,10635.78
(주)대륙제관,004780,2020/12,13344.59
(주)대림제지,017650,2020/12,2860.82
(주)대명소노시즌,007720,2020/12,1283.51
(주)대성미생물연구소,036480,2020/12,6526.58
(주)대성엘텍,025440,2020/12,2935.66
(주)대성파인텍,104040,2020/12,1025.12
(주)대성하이텍,129920,2020/12,643130.98
(주)대양금속,009190,2020/12,3494.2
(주)대우건설,047040,2020/12,18375.46
(주)대웅,003090,2020/12,1506.8
(주)대웅제약,069620,2020/12,81538.47
(주)대원,007680,2020/12,12205.25
(주)대유,290380,2020/12,3715.68
(주)대유에이텍,002880,2020/12,3393.69
(주)대유에이피,290120,2020/12,12528.56
(주)대유플러스,000300,2020/12,919.49
(주)대창,012800,2020/12,4622.65
(주)대창솔루션,096350,2020/12,157.2
(주)대창스틸,140520,2020/12,8464.49
(주)대한과학,131220,2020/12,5591.09
(주)대한항공,003490,2020/12,77171.31
(주)대현,016090,2020/12,5717.84
(주)대호에이엘,069460,2020/12,4474.93
(주)대호특수강,021040,2020/12,1831.36
(주)더 미동,161570,2020/12,1905.54
(주)더네이쳐홀딩스,298540,2020/12,46975.39
(주)더블유게임즈,192080,2020/12,13033.26
(주)더블유아이,073570,2020/12,1593.22
(주)더블유에스아이,299170,2020/12,892.59
(주)더존비즈온,012510,2020/12,9631.65
(주)더코디,224060,2020/12,136.7
(주)덕산테코피아,317330,2020/12,4264.97
(주)덕성,004830,2020/12,6283.09
(주)덕신하우징,090410,2020/12,2727.03
(주)데이타솔루션,263800,2020/12,5868.03
(주)덱스터스튜디오,206560,2020/12,954.11
(주)덴티스,261200,2020/12,562.13
(주)덴티움,145720,2020/12,16157.39
(주)도화엔지니어링,002150,2020/12,18072.16
(주)동구바이오제약,006620,2020/12,14495.61
(주)동국알앤에스,075970,2020/12,3471.66
(주)동국에스엔씨,100130,2020/12,2821.51
(주)동남합성,023450,2020/12,34493.55
(주)동방,004140,2020/12,14000.96
(주)동방선기,099410,2020/12,1591.83
(주)동방아그로,007590,2020/12,9469.94
(주)동서,026960,2020/12,4424.2
(주)동성케미컬,102260,2020/12,4782.86
(주)동성화인텍,033500,2020/12,14346.81
(주)동아엘텍,088130,2020/12,8361.16
(주)동아지질,028100,2020/12,27360.67
(주)동양,001520,2020/12,1853.74
(주)동양고속,084670,2020/12,28802.28
(주)동양에스텍,060380,2020/12,13664.2
(주)동우팜투테이블,088910,2020/12,10690.19
(주)동운아나텍,094170,2020/12,4487.57
(주)동원개발,013120,2020/12,6944.49
(주)동원에프앤비,049770,2020/12,461573.21
(주)동일기연,032960,2020/12,7256.73
(주)동진쎄미켐,005290,2020/12,13225.43
(주)두산,000150,2020/12,72353.79
(주)두산테스나,131970,2020/12,15454.27
(주)두올,016740,2020/12,7166.74
(주)듀오백,073190,2020/12,3610.58
(주)드래곤플라이,030350,2020/12,258.35
(주)드림시큐리티,203650,2020/12,491.54
(주)드림씨아이에스,223250,2020/12,4790.83
(주)드림어스컴퍼니,060570,2020/12,3901.09
(주)드림텍,192650,2020/12,6397.4
(주)디딤,217620,2020/12,2114.19
(주)디모아,016670,2020/12,77.54
(주)디바이스이엔지,187870,2020/12,17930.9
(주)디비아이엔씨,012030,2020/12,1117.91
(주)디스플레이테크,066670,2020/12,1938.01
(주)디아이,003160,2020/12,3234.12
(주)디아이씨,092200,2020/12,9036.17
(주)디아크,078590,2020/12,497.71
(주)디알비동일,004840,2020/12,5460.23
(주)디알젬,263690,2020/12,9353.45
(주)디알텍,214680,2020/12,920.51
(주)디앤씨미디어,263720,2020/12,4485.8
(주)디어유,376300,2020/12,
(주)디에스앤엘,141020,2020/12,0
(주)디에스케이,109740,2020/12,1576.57
