회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원)
(주)CMG제약,058820,2020/12,64459891
(주)DB하이텍,000990,2020/12,935919766
(주)ES큐브,050120,2020/12,30293088
(주)HJ중공업,097230,2020/12,1694634000
(주)MH에탄올,023150,2020/12,51277355
(주)SH에너지화학,002360,2020/12,91354318
(주)SIMPAC,009160,2020/12,272087150
(주)SNT에너지,100840,2020/12,229991237
(주)SNT홀딩스,036530,2020/12,25309708
(주)STX,011810,2020/12,788462000
(주)TCC스틸,002710,2020/12,323435107
(주)가비아,079940,2020/12,64097025
(주)가온칩스,399720,2020/12,17098306
(주)강스템바이오텍,217730,2020/12,295379
(주)강원랜드,035250,2020/12,477474858
(주)강원에너지,114190,2020/12,38345166
(주)갤럭시아에스엠,011420,2020/12,19539594
(주)경농,002100,2020/12,165655312
(주)경동나비엔,009450,2020/12,746324940
(주)경동도시가스,267290,2020/12,1086023402
(주)경동인베스트,012320,2020/12,7700621
(주)경방,000050,2020/12,226061886
(주)경보제약,214390,2020/12,215285095
(주)경인양행,012610,2020/12,214380449
(주)고려시멘트,198440,2020/12,70182711
(주)고바이오랩,348150,2020/12,4591485
(주)고영테크놀러지,098460,2020/12,157077647
(주)골드앤에스,035290,2020/12,4138760
(주)골드퍼시픽,038530,2020/12,14335385
(주)골프존,215000,2020/12,281031445
(주)골프존뉴딘홀딩스,121440,2020/12,57481004
(주)공구우먼,366030,2020/12,32683411
(주)광림,014200,2020/12,104253227
(주)광명전기,017040,2020/12,112536086
(주)광무,029480,2020/12,25006895
(주)광주신세계,037710,2020/12,147508454
(주)구영테크,053270,2020/12,84841189
(주)국동,005320,2020/12,167078106
(주)국보,001140,2020/12,53288999
(주)국보디자인,066620,2020/12,253810694
(주)국순당,043650,2020/12,50345658
(주)국영지앤엠,006050,2020/12,64386056
(주)국전약품,307750,2020/12,80623076
(주)그래디언트,035080,2020/12,169181557
(주)그리티,204020,2020/12,119857961
(주)그린플러스,186230,2020/12,55545281
(주)글로벌스탠다드테크놀로지,083450,2020/12,154150365
(주)금양,001570,2020/12,120928396
(주)금호에이치티,214330,2020/12,181173914
(주)금화피에스시,036190,2020/12,205790146
(주)기가레인,049080,2020/12,37870890
(주)기산텔레콤,035460,2020/12,26787022
(주)까뮤이앤씨,013700,2020/12,161728918
(주)까스텔바작,308100,2020/12,67130253
(주)나노,187790,2020/12,36339792
(주)나노브릭,286750,2020/12,8651931
(주)나노신소재,121600,2020/12,48524488
(주)나노엔텍,039860,2020/12,27440478
(주)나래나노텍,137080,2020/12,82804670
(주)나무가,190510,2020/12,388515152
(주)나스미디어,089600,2020/12,82057612
(주)나이벡,138610,2020/12,6357111
(주)나이스디앤비,130580,2020/12,60300993
(주)나이스홀딩스,034310,2020/12,38980661
(주)나인테크,267320,2020/12,65865810
(주)남선알미늄,008350,2020/12,268474786
(주)남성,004270,2020/12,66947663
(주)내츄럴엔도텍,168330,2020/12,13273093
(주)네오리진,094860,2020/12,9473210
(주)네오셈,253590,2020/12,47307393
(주)네오오토,212560,2020/12,117499436
(주)네오위즈,095660,2020/12,224298409
(주)네오위즈홀딩스,042420,2020/12,989634
(주)네오이뮨텍,950220,2020/12,0
(주)네오크레마,311390,2020/12,22124649
(주)네오티스,085910,2020/12,38129773
(주)네오팜,092730,2020/12,81466222
(주)네오펙트,290660,2020/12,2701004
(주)네온테크,306620,2020/12,33815560
(주)네이블커뮤니케이션즈,153460,2020/12,11837099
(주)네이처셀,007390,2020/12,16719797
(주)네패스,033640,2020/12,269153123
(주)네패스아크,330860,2020/12,67844759
(주)넥센,005720,2020/12,353361362
(주)넥스턴바이오사이언스,089140,2020/12,9685364
(주)넥스트아이,137940,2020/12,18393252
(주)넥스트엔터테인먼트월드,160550,2020/12,64241231
(주)넥스트칩,396270,2020/12,10382892
(주)넥스틴,348210,2020/12,49445118
(주)넥슨게임즈,225570,2020/12,81404202
(주)넵튠,217270,2020/12,7492899
(주)노랑풍선,104620,2020/12,19909527
(주)노루페인트,090350,2020/12,555014018
(주)노루홀딩스,000320,2020/12,19068606
(주)노바렉스,194700,2020/12,222802950
(주)노바텍,285490,2020/12,18916560
(주)노블엠앤비,106520,2020/12,28569010
(주)노터스,278650,2020/12,43575919
(주)녹십자,006280,2020/12,1227760622
(주)녹십자엠에스,142280,2020/12,110990703
(주)녹십자웰빙,234690,2020/12,75603023
(주)녹십자홀딩스,005250,2020/12,78784539
(주)녹원씨엔아이,065560,2020/12,16813117
(주)농심,004370,2020/12,2105700159
(주)농심홀딩스,072710,2020/12,19291130
(주)누리플랜,069140,2020/12,37510223
(주)누리플렉스,040160,2020/12,67365453
(주)누보,332290,2020/12,
(주)뉴로메카,348340,2020/12,4065683
(주)뉴보텍,060260,2020/12,42438537
(주)뉴인텍,012340,2020/12,47851644
(주)뉴트리,270870,2020/12,171098418
