회사명,거래소코드,회계년도,[제조]EPS(Earning Per Share)
(주)BNK금융지주,138930,2018/12,
(주)BNK금융지주,138930,2019/12,
(주)BNK금융지주,138930,2020/12,
(주)CMG제약,058820,2018/12,56
(주)CMG제약,058820,2019/12,25
(주)CMG제약,058820,2020/12,2
(주)DB하이텍,000990,2018/12,2192
(주)DB하이텍,000990,2019/12,2790
(주)DB하이텍,000990,2020/12,3814
(주)ES큐브,050120,2018/12,-46
(주)ES큐브,050120,2019/12,-158
(주)ES큐브,050120,2020/12,-2765
(주)HJ중공업,097230,2018/12,-9087
(주)HJ중공업,097230,2019/12,-1249
(주)HJ중공업,097230,2020/12,919
(주)JB금융지주,175330,2018/12,
(주)JB금융지주,175330,2019/12,
(주)JB금융지주,175330,2020/12,
(주)KB금융지주,105560,2018/12,
(주)KB금융지주,105560,2019/12,
(주)KB금융지주,105560,2020/12,
(주)MH에탄올,023150,2018/12,955
(주)MH에탄올,023150,2019/12,-752
(주)MH에탄올,023150,2020/12,178
(주)SH에너지화학,002360,2018/12,25
(주)SH에너지화학,002360,2019/12,-28.5
(주)SH에너지화학,002360,2020/12,-65.4
(주)SIMPAC,009160,2018/12,1513
(주)SIMPAC,009160,2019/12,190
(주)SIMPAC,009160,2020/12,452
(주)SNT에너지,100840,2018/12,257
(주)SNT에너지,100840,2019/12,2027
(주)SNT에너지,100840,2020/12,1360
(주)SNT홀딩스,036530,2018/12,386
(주)SNT홀딩스,036530,2019/12,602
(주)SNT홀딩스,036530,2020/12,1543
(주)STX,011810,2018/12,260
(주)STX,011810,2019/12,-1884
(주)STX,011810,2020/12,-841
(주)TCC스틸,002710,2018/12,360
(주)TCC스틸,002710,2019/12,94
(주)TCC스틸,002710,2020/12,-143
(주)가비아,079940,2018/12,212
(주)가비아,079940,2019/12,357
(주)가비아,079940,2020/12,365
(주)가온칩스,399720,2018/12,
(주)가온칩스,399720,2019/12,85376
(주)가온칩스,399720,2020/12,35220
(주)강스템바이오텍,217730,2018/12,-737
(주)강스템바이오텍,217730,2019/12,-1200
(주)강스템바이오텍,217730,2020/12,-874
(주)강원랜드,035250,2018/12,1467
(주)강원랜드,035250,2019/12,1655
(주)강원랜드,035250,2020/12,-1375
(주)강원에너지,114190,2018/12,130
(주)강원에너지,114190,2019/12,-2118
(주)강원에너지,114190,2020/12,-777
(주)갤럭시아에스엠,011420,2018/12,-569
(주)갤럭시아에스엠,011420,2019/12,-50
(주)갤럭시아에스엠,011420,2020/12,36
(주)경농,002100,2018/12,538
