종목코드,종목명,종가,등락률,거래량,거래대금,시가총액,상장주식수
60310,3S,2395,0,235504,565481520,1.08282E+11,45211895
54620,APS홀딩스,9700,3.85,557189,5271306310,1.97824E+11,20394221
265520,AP시스템,28650,-1.21,119487,3441494550,4.14859E+11,14480227
211270,AP위성,15700,-0.32,328171,5135644650,2.36478E+11,15062304
35760,CJ ENM,142300,0.78,102156,14528650900,3.12052E+12,21929154
51500,CJ프레시웨이,24450,2.52,105370,2545198900,2.9026E+11,11871586
58820,CMG제약,4385,-0.9,745494,3294687335,6.09042E+11,138892244
23460,CNH,2730,0.18,163651,451868830,1.01556E+11,37200000
56000,COWON,2860,0,0,0,56399843500,19720225
65770,CS,2740,2.62,919278,2544340100,51608311000,18835150
83660,CSA 코스믹,1910,-8.17,402500,782722835,70807605950,37072045
367340,DB금융스팩8호,2080,-0.24,682,1412945,12584000000,6050000
367360,DB금융스팩9호,2045,0.49,48148,98296395,9897800000,4840000
68790,DMS,8480,-0.59,157224,1329449570,2.0838E+11,24573061
241520,DSC인베스트먼트,5860,-1.01,2001052,11673588070,1.62192E+11,27677867
245620,EDGC,4950,0.3,206438,1020360230,2.12526E+11,42934531
37370,EG,11650,-0.85,33372,388141450,87375000000,7500000
79190,EMW,2780,0,0,0,88360067660,31784197
130500,GH신소재,5980,-1.97,83329,500769480,65780000000,11000000
900290,GRT,951,0,0,0,64073625000,67375000
83450,GST,21800,-1.13,190033,4122232300,2.03127E+11,9317745
28150,GS홈쇼핑,150100,-0.92,15850,2387648900,9.85031E+11,6562500
45890,GV,240,0,0,0,20823884880,86766187
78150,HB테크놀러지,3165,0.96,2508637,7948074975,2.50005E+11,78990426
36640,HRS,5860,5.21,7825105,49009331260,95839128000,16354800
335870,IBKS제12호스팩,2175,0.23,20984,45521210,6786000000,3120000
351340,IBKS제13호스팩,2095,0,2474,5183030,10831150000,5170000
351320,IBKS제14호스팩,2100,0,9352,19569290,9093000000,4330000
373200,IBKS제15호스팩,2100,0.24,822,1726185,7392000000,3520000
95340,ISC,21750,-1.81,148757,3254367950,3.52877E+11,16224248
99520,ITX-AI,1285,0,0,0,37652662655,29301683
950170,JTC,5150,-0.77,69627,357508630,1.80278E+11,35005517
67290,JW신약,5620,10.41,3776795,21021550680,2.46925E+11,43936858
35900,JYP Ent.,35600,0,309757,11027175300,1.26371E+12,35497492
24840,KBI메탈,2290,1.55,496583,1123010580,75457441920,32950848
24120,KB오토시스,9800,-0.71,40877,399046000,1.127E+11,11500000
21320,KCC건설,9140,1.22,69764,631043560,1.95596E+11,21400000
36670,KCI,9540,-0.52,20944,199737480,1.07516E+11,11270000
44180,KD,1120,1.36,208738,230898980,18508403200,16525360
151860,KG ETS,6380,5.45,1036809,6500781300,2.2968E+11,36000000
46440,KG모빌리언스,9890,0.92,176124,1733007690,3.83985E+11,38825568
35600,KG이니시스,19650,2.08,321795,6305433750,5.48322E+11,27904434
60720,KH바텍,22250,0,583312,13206087150,5.26744E+11,23673903
122450,KMH,11450,-2.14,505927,5813612450,5.19097E+11,45335964
52900,KMH하이텍,1995,-1.97,1101839,2214303605,93536570505,46885499
58400,KNN,2000,2.3,3232012,6517319060,2.64859E+11,132429720
114450,KPX생명과학,8360,-2.56,177051,1495085220,1.254E+11,15000000
36030,KTH,11350,-8.47,2170158,25474864850,4.05365E+11,35715022
60370,KT서브마린,6140,0.99,915397,5607176720,1.34466E+11,21900000
65150,MP그룹,895,0,0,0,1.1137E+11,124435974
219550,MP한강,995,-1,1216501,1212142579,79428724680,79827864
160550,NEW,13200,-0.75,279977,3659177850,3.68361E+11,27906106
53290,NE능률,12000,0,2624888,29934872750,1.98316E+11,16526307
104200,NHN벅스,6550,-0.3,63033,410149910,97120452500,14827550
60250,NHN한국사이버결제,50100,-1.96,91226,4602539600,1.15087E+12,22971393
30190,NICE평가정보,25350,1.81,246558,6192715252,1.53912E+12,60714820
78590,OQP,3890,0,0,0,3.06239E+11,78724637
178920,PI첨단소재,45700,0.55,117147,5303844500,1.34204E+12,29366322
24940,PN풍년,5260,7.9,3031225,16258561480,52600000000,10000000
218410,RFHIC,38150,-2.68,159012,6108937300,9.09787E+11,23847620
91340,S&K폴리텍,5120,1.19,56445,290210720,59923051520,11703721
19550,SBI인베스트먼트,1750,-1.96,6712104,11857918540,2.83617E+11,162066575
950110,SBI핀테크솔루션즈,9230,-0.43,144644,1335311430,2.21963E+11,24048040
46140,SBS콘텐츠허브,7100,3.65,88553,618870180,1.52391E+11,21463555
36120,SCI평가정보,4670,-4.21,845550,4028108240,1.65785E+11,35500000
99220,SDN,3030,-0.33,603461,1832802575,1.45982E+11,48178714
36540,SFA반도체,7550,-1.69,2886882,21859681930,1.24168E+12,164460303
255220,SG,1900,-0.26,159644,304537145,70552711400,37133006
40610,SG&G,2880,4.73,6546297,19089786355,98171124480,34087196
49470,SGA,1020,0.99,1010188,1039144147,49788493980,48812249
184230,SGA솔루션즈,1435,2.87,1351151,1987816010,55884073175,38943605
16250,SGC이테크건설,54200,2.65,24111,1298438000,85710958600,1581383
307070,SK4호스팩,2045,0,36765,75135775,10552200000,5160000
337450,SK5호스팩,2095,0,4321,8915825,9029450000,4310000
340350,SK6호스팩,2055,0.49,5077,10396595,11734050000,5710000
36490,SK머티리얼즈,311000,-1.64,37094,11577890600,3.28033E+12,10547673
48550,SM C&C,1820,0.83,1579997,2894854045,1.7219E+11,94610120
63440,SM Life Design,3355,1.05,1769847,5947038530,1.51408E+11,45129154
950180,SNK,26200,0,214711,5653043800,5.51819E+11,21061800
289080,SV인베스트먼트,4485,-1.75,798506,3654715105,2.38754E+11,53234000
89230,THE E&M,1090,0.46,1561947,1699787050,1.82959E+11,167851954
161570,THE MIDONG,1815,2.54,50850,91222930,28282836450,15582830
32540,TJ미디어,3900,-0.76,14423,55912705,54333275100,13931609
48770,TPC,4315,0.58,42203,178839580,60665366015,14059181
246690,TS인베스트먼트,4885,-3.46,3831596,19018633605,1.18825E+11,24324534
317240,TS트릴리온,1475,1.37,67803,98756825,74420403725,50454511
38340,UCI,445,0,0,0,16641828315,37397367
73570,WI,1505,0,514698,776068920,1.17153E+11,77842364
52300,W홀딩컴퍼니,304,-0.98,1730346,528814942,97321765952,320137388
57030,YBM넷,7210,-1.9,417132,3004103050,1.17615E+11,16312697
40300,YTN,3950,-2.71,22637,90319640,1.659E+11,42000000
51390,YW,4710,0.53,24756,115945610,53483783280,11355368
52220,iMBC,4620,-9.23,3761879,17370636330,1.0626E+11,23000000
79940,가비아,15550,-0.64,39982,618352950,2.1048E+11,13535684
78890,가온미디어,11750,-1.67,380341,4490754000,1.79972E+11,15316776
192410,감마누,4510,9.07,3175936,13943247970,1.29907E+11,28804203
217730,강스템바이오텍,6850,-1.44,141170,969863360,1.74892E+11,25531688
114190,강원,2500,0,0,0,45387277500,18154911
94480,갤럭시아머니트리,8320,30,56405428,4.29709E+11,3.26392E+11,39229838
63080,게임빌,49150,0,58933,2877540700,3.24154E+11,6595192
44480,경남바이오파마,2770,0,143022,396152120,55754022620,20127806
