,거래일자,종목코드,외국인_일순매수금액
0,20210318,HK0000057197,-2962237
1,20210318,HK0000214814,95440587
2,20210318,HK0000295359,65491790
3,20210318,HK0000312568,8586751
4,20210318,HK0000341732,69304830
5,20210318,HK0000449303,31808030
6,20210318,KR7000250001,-1046176900
7,20210318,KR7000440008,112088400
8,20210318,KR7001000009,-873059650
9,20210318,KR7001540004,-30442700
10,20210318,KR7001810001,143824265
11,20210318,KR7001840008,176174270
12,20210318,KR7002230001,8304930
13,20210318,KR7002290005,-64473825
14,20210318,KR7002680007,-26335625
15,20210318,KR7002800001,3721070
16,20210318,KR7003100005,-60511400
17,20210318,KR7003310000,-78186380
18,20210318,KR7003380003,61011480
19,20210318,KR7003800000,20440400
20,20210318,KR7004590006,-72488050
21,20210318,KR7004650008,28815950
22,20210318,KR7004780003,-16085790
23,20210318,KR7005160007,39700625
24,20210318,KR7005290002,-2339364600
25,20210318,KR7005670005,164349380
26,20210318,KR7005710009,-90758110
27,20210318,KR7005860002,-105554970
28,20210318,KR7005990007,3313950
29,20210318,KR7006050009,500353780
30,20210318,KR7006140008,-17299470
31,20210318,KR7006620009,-16609550
32,20210318,KR7006730006,-21821250
33,20210318,KR7006910004,-333085970
34,20210318,KR7006920003,37858680
35,20210318,KR7007330004,47913750
36,20210318,KR7007370000,-20566200
37,20210318,KR7007390008,1455404410
38,20210318,KR7007530009,-2155220
39,20210318,KR7007680002,4989220
40,20210318,KR7007720006,68247675
41,20210318,KR7007770001,259301550
42,20210318,KR7007820004,-13155170
43,20210318,KR7008290009,-6878205
44,20210318,KR7008370009,-18369900
45,20210318,KR7008470007,24590650
46,20210318,KR7009300005,31255650
47,20210318,KR7009520008,-1880884490
48,20210318,KR7009620006,61789885
49,20210318,KR7009780008,440200
50,20210318,KR7010170009,125763345
51,20210318,KR7010240000,119122680
52,20210318,KR7010280006,115907545
53,20210318,KR7010470003,14917290
54,20210318,KR7011040003,-74383020
55,20210318,KR7011080009,152504790
56,20210318,KR7011320009,45789200
57,20210318,KR7011370004,14344105
58,20210318,KR7011560000,3727690
59,20210318,KR7012340006,73499185
60,20210318,KR7012620001,105254800
61,20210318,KR7012700001,896992170
62,20210318,KR7012790002,-165234050
63,20210318,KR7012860003,-224314575
64,20210318,KR7013030002,361840800
65,20210318,KR7013120001,-116074660
66,20210318,KR7013310008,-266100475
67,20210318,KR7013720008,-99193100
68,20210318,KR7013810007,294077800
69,20210318,KR7013990007,-137855845
70,20210318,KR7014100002,-483431840
71,20210318,KR7014190003,305497920
72,20210318,KR7014200000,7210775
73,20210318,KR7014470009,-138526905
74,20210318,KR7014570006,-44892300
75,20210318,KR7014620009,-203623070
76,20210318,KR7014940001,-54858490
77,20210318,KR7014970008,35108760
78,20210318,KR7015710007,7458940
79,20210318,KR7015750003,172987110
80,20210318,KR7016100000,34157200
81,20210318,KR7016250003,-25039900
82,20210318,KR7016600009,479821015
83,20210318,KR7016790008,102548850
84,20210318,KR7016920001,65271260
85,20210318,KR7017000001,349417260
86,20210318,KR7017250002,6988620
87,20210318,KR7017480005,249460075
88,20210318,KR7017510009,-2815525
89,20210318,KR7017650003,122658150
90,20210318,KR7017890005,78042600
91,20210318,KR7018000000,864626185
92,20210318,KR7018120006,4762250
93,20210318,KR7018290007,29191870
94,20210318,KR7018310003,-62916200
95,20210318,KR7018620005,-5344465
96,20210318,KR7018680009,-46680630
97,20210318,KR7018700005,141435145
98,20210318,KR7019010008,26618075
99,20210318,KR7019210004,35728940
100,20210318,KR7019540004,139142100
101,20210318,KR7019550003,178076560
102,20210318,KR7019570001,192558528
103,20210318,KR7019590009,203822010
104,20210318,KR7019660000,581737945
105,20210318,KR7019770007,-1461597170
106,20210318,KR7019990001,59977130
107,20210318,KR7020180006,128767525
108,20210318,KR7020400008,-5242450
109,20210318,KR7020710000,-1818380
110,20210318,KR7021040001,9725869
111,20210318,KR7021080007,861250720
112,20210318,KR7021320007,3898810
113,20210318,KR7021650007,-554635
114,20210318,KR7021880000,4818388
115,20210318,KR7022100002,1295220440
116,20210318,KR7022220008,22404610
117,20210318,KR7023160005,-313052440
118,20210318,KR7023410004,87321695
119,20210318,KR7023440001,2311419635
120,20210318,KR7023460009,-5357440
121,20210318,KR7023600000,43519000
122,20210318,KR7023760002,99786924
123,20210318,KR7023770001,24949830
124,20210318,KR7023790009,40088630
125,20210318,KR7023890007,5708500
126,20210318,KR7023900004,4207900
127,20210318,KR7023910003,89273450
128,20210318,KR7024060006,-65871560
129,20210318,KR7024120008,515093250
130,20210318,KR7024740003,345973595
131,20210318,KR7024800005,74219945
132,20210318,KR7024810004,585452753
133,20210318,KR7024840001,135677420
134,20210318,KR7024850000,412980750
135,20210318,KR7024880007,-8012615
136,20210318,KR7024910002,98757530
137,20210318,KR7024940009,70011825
138,20210318,KR7024950008,-316034700
139,20210318,KR7025320003,-42173850
140,20210318,KR7025440009,-23419350
141,20210318,KR7025550005,52993085
142,20210318,KR7025770009,53687720
143,20210318,KR7025870007,-389725350
144,20210318,KR7025880006,12006535
145,20210318,KR7025900002,282726200
146,20210318,KR7025950007,489779200
147,20210318,KR7025980004,240963680
148,20210318,KR7026040006,3741845
149,20210318,KR7026150003,187088970
150,20210318,KR7026910000,4086045
151,20210318,KR7027040005,123778506
152,20210318,KR7027050004,-153461030
153,20210318,KR7027360007,412099200
154,20210318,KR7027580000,-92443865
155,20210318,KR7027710003,-1171743155
156,20210318,KR7027830009,-313732730
157,20210318,KR7028080000,-282640
158,20210318,KR7028150001,316368800
159,20210318,KR7028300002,4230592450
160,20210318,KR7029480001,117783942
161,20210318,KR7029960002,64095170
162,20210318,KR7030190003,155824650
163,20210318,KR7030350003,24911775
164,20210318,KR7030520001,-95748800
165,20210318,KR7030530000,161074930
166,20210318,KR7030960009,-220870200
167,20210318,KR7031310006,-292970050
168,20210318,KR7031330004,-85758670
169,20210318,KR7031390008,29414550
170,20210318,KR7031510001,432972475
171,20210318,KR7031860000,102236655
172,20210318,KR7031980006,-8598600
173,20210318,KR7032080004,67045510
174,20210318,KR7032190001,247332150
175,20210318,KR7032280000,2715115
176,20210318,KR7032300006,-545016600
177,20210318,KR7032500001,-4018379200
178,20210318,KR7032540007,-23546910
179,20210318,KR7032580003,-175353380
180,20210318,KR7032620007,58781880
181,20210318,KR7032680001,-35702975
182,20210318,KR7032681009,516000
183,20210318,KR7032750002,-8263000
184,20210318,KR7032800005,28255069
185,20210318,KR7032820003,256326795
186,20210318,KR7032850000,318072800
187,20210318,KR7032860009,36295450
188,20210318,KR7032940009,35492060
189,20210318,KR7032960007,-45325100
190,20210318,KR7032980005,-641546345
191,20210318,KR7033050006,16951160
192,20210318,KR7033100009,-121767860
193,20210318,KR7033130006,93217350
194,20210318,KR7033160003,133226550
195,20210318,KR7033170002,282980690
196,20210318,KR7033200007,-6448800
197,20210318,KR7033230004,23953480
198,20210318,KR7033290008,890318240
199,20210318,KR7033310004,1239070350
200,20210318,KR7033320003,-12899880
201,20210318,KR7033340001,38488100
