,종목코드,PER,PBR,EPS,BPS,DIV,DPS
0,095570,4.59,0.66,982,6802,6.66,300
1,006840,12.32,0.43,2168,62448,2.81,750
2,027410,24.95,0.45,281,15699,1.57,110
3,282330,18.03,4.39,8763,36022,1.71,2700
4,138930,4.12,0.27,1647,25415,5.3,360
5,001460,10.39,0.67,33265,517079,0.32,1100
6,001465,0.0,0.0,0,0,0.76,1150
7,001040,11.41,0.74,8240,126448,1.97,1850
8,079160,0.0,2.42,0,11590,0.0,0
9,00104K,0.0,0.0,0,0,2.54,1900
10,000120,135.66,1.4,1349,131146,0.0,0
11,011150,93.63,2.68,51,1781,0.0,0
12,011155,0.0,0.0,0,0,0.0,0
13,001045,0.0,0.0,0,0,3.37,1900
14,097950,43.19,1.38,9516,297949,0.85,3500
15,097955,0.0,0.0,0,0,1.93,3550
16,000590,7.62,0.33,8435,195584,0.78,500
17,012030,37.87,0.83,23,1049,0.0,0
18,016610,5.16,0.37,1172,16484,4.13,250
19,005830,7.93,0.56,5966,84026,3.17,1500
20,000990,23.36,3.89,2410,14483,0.62,350
21,000995,0.0,0.0,0,0,0.39,400
22,139130,4.44,0.31,1900,27296,4.86,410
23,001530,25.35,0.88,6765,195965,0.87,1500
24,000210,5.08,0.57,17223,153815,1.49,1300
25,000215,0.0,0.0,0,0,3.08,1350
26,375500,0.0,0.0,0,0,0.0,0
27,37550K,0.0,0.0,0,0,0.0,0
28,004840,14.66,0.38,461,17771,1.48,100
29,155660,10.4,0.59,546,9613,0.88,50
30,069730,11.75,0.56,469,9851,0.73,40
31,017940,0.0,0.26,0,166288,5.13,2200
32,007700,17.81,4.06,7158,31366,0.78,1000
33,114090,14.23,1.76,1170,9460,3.96,659
34,078930,6.81,0.42,5745,93746,4.86,1900
35,006360,7.69,0.87,5590,49623,2.33,1000
36,001250,0.0,0.57,0,4351,0.0,0
37,007070,22.06,1.35,1729,28232,1.97,750
38,078935,0.0,0.0,0,0,6.04,1950
39,012630,2.52,0.31,4460,36131,1.78,200
40,039570,0.0,0.99,0,10245,3.45,350
41,089470,14.13,0.71,445,8886,1.91,120
42,294870,3.36,0.62,8731,47095,1.7,500
43,011200,0.0,8.48,0,3420,0.0,0
44,082740,0.0,1.64,0,5722,0.0,0
45,003560,0.0,2.14,0,933,0.0,0
46,175330,3.99,0.37,1641,17615,4.58,300
47,234080,13.72,2.45,1385,7744,2.63,500
48,001060,0.0,2.95,0,10059,1.1,325
49,001067,0.0,0.0,0,0,0.54,350
50,001065,0.0,0.0,0,0,1.05,350
51,096760,0.0,2.08,0,2191,1.98,90
52,105560,6.65,0.61,8451,92672,3.93,2210
53,002380,0.0,0.56,0,421723,2.32,5500
54,009070,26.9,1.0,239,6409,0.7,45
55,009440,12.76,0.59,369,7996,1.27,60
56,119650,64.77,1.66,149,5805,0.31,30
57,092220,0.0,1.3,0,1782,0.0,0
58,016380,0.0,1.72,0,8886,0.0,0
59,016385,0.0,0.0,0,0,0.0,0
60,001390,3.51,1.03,7691,26210,1.3,350
61,001940,5.95,0.39,2909,44246,1.62,280
62,025000,7.42,0.66,8571,96367,3.93,2500
63,092230,7.16,0.4,8406,149477,4.32,2600
64,000040,0.0,4.14,0,318,0.0,0
65,044450,10.59,0.91,1034,12026,2.47,270
66,030200,11.18,0.54,2526,52341,3.89,1100
67,033780,9.92,1.29,8208,63008,5.41,4400
68,030210,7.07,0.59,681,8098,3.12,150
69,058850,16.43,0.79,178,3715,2.74,80
70,058860,11.08,0.62,272,4835,2.99,90
71,093050,7.07,0.39,2313,41768,3.06,500
72,003550,14.72,0.84,6143,107050,2.43,2200
73,034220,0.0,0.72,0,31694,0.0,0
74,001120,43.17,1.06,739,30224,0.94,300
75,051900,33.81,6.71,46431,234042,0.7,11000
76,051905,0.0,0.0,0,0,1.61,11050
77,003555,0.0,0.0,0,0,3.12,2250
78,032640,12.19,0.76,1005,16218,3.27,400
79,011070,47.54,2.21,4323,93151,0.15,300
80,066570,887.57,1.89,169,79245,0.5,750
81,066575,0.0,0.0,0,0,1.13,800
82,108670,73.66,0.93,1154,91420,0.29,250
83,108675,0.0,0.0,0,0,0.77,300
84,037560,0.0,0.4,0,12283,1.52,75
85,051910,197.06,3.71,4085,217230,0.25,2000
86,051915,0.0,0.0,0,0,0.53,2050
87,079550,276.9,1.39,145,28817,1.49,600
88,006260,75.11,0.7,912,98330,2.12,1450
89,010120,17.19,1.34,3542,45353,1.97,1200
90,000680,0.0,0.43,0,6590,0.0,0
91,229640,14.95,1.7,523,4591,2.3,180
92,023150,0.0,1.12,0,7785,4.02,350
93,035420,94.11,10.7,4006,35223,0.1,376
94,181710,110.52,0.9,656,80696,0.0,0
95,005940,7.35,0.65,1585,17934,4.29,500
96,005945,0.0,0.0,0,0,5.77,550
97,034310,22.18,0.94,771,18100,1.35,230
98,008260,16.12,0.93,224,3877,1.39,50
99,004250,12.17,0.62,343,6745,2.4,100
100,004255,0.0,0.0,0,0,4.53,105
101,010060,0.0,1.1,0,110515,0.0,0
102,005490,14.02,0.63,22823,510076,3.13,10000
103,010950,144.74,1.46,561,55715,0.25,200
104,010955,0.0,0.0,0,0,0.49,225
105,034120,20.38,0.71,1114,31799,0.66,150
106,101060,0.0,0.49,0,4162,0.0,0
107,005090,0.0,0.7,0,56341,2.53,1000
108,004060,15.48,0.73,48,1012,0.0,0
109,001380,188.24,1.11,17,2893,0.0,0
110,002360,0.0,1.07,0,876,0.0,0
111,009160,20.64,0.48,157,6743,1.85,60
112,123700,9.35,0.39,438,10621,3.05,125
113,025530,9.96,0.36,363,10066,4.84,175
114,034730,21.83,1.2,12917,235255,1.77,5000
115,011790,76.22,3.09,1686,41542,0.78,1000
116,018670,5.99,0.59,17794,180030,2.82,3000
117,001740,0.0,0.65,0,8713,2.13,120
118,001745,0.0,0.0,0,0,0.13,145
119,006120,6.87,0.74,8846,82498,1.15,700
120,006125,0.0,0.0,0,0,1.72,750
121,210980,16.34,2.03,2365,19032,1.55,600
122,068400,14.46,1.11,740,9639,0.0,0
123,302440,502.08,31.69,240,3803,0.0,0
124,326030,0.0,0.0,0,0,0.0,0
125,03473K,0.0,0.0,0,0,1.94,5050
126,096770,0.0,1.17,0,186398,1.37,3000
127,096775,0.0,0.0,0,0,1.93,3050
128,001510,13.16,0.74,67,1197,1.13,10
129,001515,0.0,0.0,0,0,0.3,15
130,285130,312.34,4.62,802,54214,0.18,450
131,28513K,0.0,0.0,0,0,0.43,500
132,017670,22.64,0.97,12144,284310,3.64,10000
133,000660,45.02,2.01,2943,65836,0.75,1000
134,064960,343.09,1.23,181,50329,2.25,1400
135,100840,8.24,0.54,2148,32631,4.52,800
136,003570,12.06,0.4,622,18558,4.0,300
137,036530,4.56,0.39,4072,46992,2.7,500
138,005610,29.09,1.94,2492,37411,1.52,1104
139,011810,0.0,2.11,0,2864,0.0,0
140,077970,10.83,0.93,737,8586,0.0,0
141,071970,0.0,0.9,0,4813,0.0,0
142,084870,0.0,0.37,0,5163,0.0,0
143,002710,20.04,0.91,225,4962,0.67,30
144,024070,52.79,0.48,70,7697,1.35,50
145,037270,0.0,3.55,0,1562,0.0,0
146,000500,21.6,0.49,1391,61708,2.0,600
147,000860,13.49,0.37,2250,81019,1.65,500
148,035250,15.32,1.46,1651,17377,3.56,900
149,011420,0.0,2.26,0,791,0.0,0
150,002100,53.54,1.6,254,8484,1.62,220
151,009450,23.06,2.16,2207,23612,0.59,300
152,267290,4.72,0.34,4167,57537,4.45,875
153,012320,10.13,0.24,4007,171962,1.23,500
154,000050,8.1,0.49,1630,27050,0.95,125
155,214390,54.98,1.95,221,6239,0.82,100
156,012610,19.42,1.25,344,5357,0.75,50
157,009140,162.64,0.85,182,34673,0.84,250
158,013580,3.79,0.62,8363,50766,1.89,600
159,012200,1081.25,0.8,4,5425,0.81,35
160,012205,0.0,0.0,0,0,0.58,40
161,002140,23.35,1.11,182,3842,0.71,30
162,010130,11.41,1.15,35811,355878,3.43,14000
