종목코드,종목명,종가,등락률,거래량,거래대금,시가총액,상장주식수
95570,AJ네트웍스,4505,1.46,165865,747227030,2.10934E+11,46822295
6840,AK홀딩스,26700,-3.78,97894,2654226200,3.5371E+11,13247561
27410,BGF,7010,6.86,9629965,71150947870,6.70975E+11,95716791
282330,BGF리테일,158000,-0.63,51465,8146049000,2.73086E+12,17283906
138930,BNK금융지주,6790,0.59,1588525,10790890310,2.2131E+12,325935246
1460,BYC,345500,0.44,494,170035000,2.15804E+11,624615
1465,BYC우,151500,1.34,134,20086500,32630827500,215385
1040,CJ,94000,0.43,76835,7266307200,2.74264E+12,29176998
79160,CJ CGV,28050,0.9,321205,8867182300,9.84555E+11,35100000
00104K,CJ4우(전환),74700,0.54,3272,244663700,3.1572E+11,4226512
120,CJ대한통운,183000,-1.88,71655,13149854500,4.17466E+12,22812344
11150,CJ씨푸드,4775,-0.42,372456,1785816965,1.71569E+11,35930773
11155,CJ씨푸드1우,36550,-1.22,1097,40105550,7310000000,200000
1045,CJ우,56300,2.18,16915,932334200,1.27251E+11,2260223
97950,CJ제일제당,411000,0,45750,18890482953,6.18727E+12,15054186
97955,CJ제일제당 우,184000,0,4890,903929500,2.44248E+11,1327433
590,CS홀딩스,64300,1.74,4626,295217300,74233192600,1154482
12030,DB,871,-0.11,437788,380596430,1.75222E+11,201173933
16610,DB금융투자,6050,1.17,440541,2681590080,2.56801E+11,42446389
5830,DB손해보험,47300,1.72,290277,13719535400,3.34884E+12,70800000
990,DB하이텍,56300,-1.4,603985,34049089600,2.49964E+12,44398588
995,DB하이텍1우,103000,-0.96,204,21050000,11568548000,112316
139130,DGB금융지주,8440,0.84,481168,4045127460,1.42759E+12,169145833
1530,DI동일,171500,0.59,7635,1303138500,4.22852E+11,2465609
210,DL,87500,0.11,223938,19834881000,1.35111E+12,15441262
215,DL우,43850,1.27,8151,359778150,73936142750,1686115
375500,DL이앤씨,120500,-0.41,208816,25233149500,2.33273E+12,19358738
37550K,DL이앤씨우,73600,-0.27,6097,448883000,1.55582E+11,2113885
4840,DRB동일,6760,-0.88,24805,166907120,1.34727E+11,19930000
155660,DSR,5680,1.79,109007,612722260,90880000000,16000000
69730,DSR제강,5510,3.38,181227,990823350,79344000000,14400000
17940,E1,42900,0,11900,511600250,2.94294E+11,6860000
