,거래일자,종목코드,외국인_일순매수금액
0,20210318,KR7000020008,-379817600
1,20210318,KR7000040006,-97083655
2,20210318,KR7000050005,-7594200
3,20210318,KR7000060004,-2473691750
4,20210318,KR7000070003,677092600
5,20210318,KR7000071001,-1255800
6,20210318,KR7000080002,-2321876850
7,20210318,KR7000082008,444400
8,20210318,KR7000100008,-2230454200
9,20210318,KR7000101006,-27051600
10,20210318,KR7000120006,1203755500
11,20210318,KR7000140004,-24024650
12,20210318,KR7000150003,24880050
13,20210318,KR7000151001,3844300
14,20210318,KR7000180000,159234945
15,20210318,KR7000210005,140864600
16,20210318,KR7000211003,4813050
17,20210318,KR7000220004,-483052500
18,20210318,KR7000221002,2198800
19,20210318,KR7000230003,-164190400
20,20210318,KR7000240002,282696600
21,20210318,KR7000270009,47743250300
22,20210318,KR7000300004,97923339
23,20210318,KR7000320002,47469900
24,20210318,KR7000370007,-720039275
25,20210318,KR7000390005,21915100
26,20210318,KR7000400002,-40997845
27,20210318,KR7000430009,62916325
28,20210318,KR7000480004,-1743400
29,20210318,KR7000490003,265576450
30,20210318,KR7000500009,-2612850
31,20210318,KR7000520007,-45630250
32,20210318,KR7000540005,67352290
33,20210318,KR7000542001,1991100
34,20210318,KR7000590000,-7017200
35,20210318,KR7000640003,-84071000
36,20210318,KR7000650002,-518300
37,20210318,KR7000660001,105923615000
38,20210318,KR7000670000,68620000
39,20210318,KR7000680009,25161160
40,20210318,KR7000700005,-2070730
41,20210318,KR7000720003,354588200
42,20210318,KR7000810002,5660706500
43,20210318,KR7000811000,-51019500
44,20210318,KR7000850008,10733050
45,20210318,KR7000860007,-14015300
46,20210318,KR7000880005,942095000
47,20210318,KR7000881003,-6854900
48,20210318,KR700088K015,-16188800
49,20210318,KR7000890004,-166160315
50,20210318,KR7000910000,-990265960
51,20210318,KR7000950006,13311800
52,20210318,KR7000970004,21132830
53,20210318,KR7000990002,-2592277100
54,20210318,KR7001020007,681070
55,20210318,KR7001040005,-1168574400
56,20210318,KR7001041003,-65059100
57,20210318,KR700104K010,-46567200
58,20210318,KR7001060003,-429363650
59,20210318,KR7001070002,15826600
60,20210318,KR7001080001,-5190100
61,20210318,KR7001120005,-1655467250
62,20210318,KR7001130004,-21897000
63,20210318,KR7001140003,30333340
64,20210318,KR7001200005,-340984070
65,20210318,KR7001210004,27390450
66,20210318,KR7001230002,-236359150
67,20210318,KR7001250000,-9429495
68,20210318,KR7001260009,-32928850
69,20210318,KR7001270008,14553200
70,20210318,KR7001290006,3462710
71,20210318,KR7001340009,41634230
72,20210318,KR7001360007,-47028650
73,20210318,KR7001380005,13234310
74,20210318,KR7001390004,222940250
75,20210318,KR7001420009,-2867200
76,20210318,KR7001430008,865740350
77,20210318,KR7001440007,245972474
78,20210318,KR7001450006,1419024300
79,20210318,KR7001460005,-5046000
80,20210318,KR7001461003,-310000
81,20210318,KR7001470004,1398361905
82,20210318,KR7001500008,-110456000
83,20210318,KR7001510007,65823097
84,20210318,KR7001511005,57060
85,20210318,KR7001520006,135544660
86,20210318,KR7001530005,-267642000
87,20210318,KR7001550003,60779100
88,20210318,KR7001570001,-731999150
89,20210318,KR7001620004,-85105189
90,20210318,KR7001630003,-149095000
91,20210318,KR7001680008,-511438200
92,20210318,KR7001681006,-16493400
93,20210318,KR7001720002,14726200
94,20210318,KR7001721000,1320300
95,20210318,KR7001740000,-232752830
96,20210318,KR7001750009,-54202800
97,20210318,KR7001770007,-16329100
98,20210318,KR7001780006,48127390
99,20210318,KR7001790005,86879100
100,20210318,KR7001800002,-220680700
101,20210318,KR7001820000,-451203000
102,20210318,KR7001880004,-87638600
103,20210318,KR7001940006,42053400
104,20210318,KR7002020006,-358141200
105,20210318,KR7002021004,1686000
106,20210318,KR7002030005,-13370800
107,20210318,KR7002070001,371978190
108,20210318,KR7002100006,-117206250
109,20210318,KR7002140002,-6207325
110,20210318,KR7002150001,99136710
111,20210318,KR7002170009,10749900
112,20210318,KR7002200004,-19306600
113,20210318,KR7002210003,-417415550
114,20210318,KR7002220002,-2635145
115,20210318,KR7002240000,142089200
116,20210318,KR7002270007,259204000
117,20210318,KR7002310001,-54175550
118,20210318,KR7002320000,-685319200
119,20210318,KR7002350007,-121021280
120,20210318,KR7002360006,244827642
121,20210318,KR7002380004,-197937500
122,20210318,KR7002390003,-16998400
123,20210318,KR7002410009,22135105
124,20210318,KR7002450005,-67881035
125,20210318,KR7002460004,-3690300
126,20210318,KR7002620003,36872600
127,20210318,KR7002630002,497041610
128,20210318,KR7002690006,-364545130
129,20210318,KR7002700003,-147613535
130,20210318,KR7002710002,151555225
131,20210318,KR7002720001,95430900
132,20210318,KR7002760007,38603650
133,20210318,KR7002780005,-195646780
134,20210318,KR7002782001,185600
135,20210318,KR7002790004,-4189816400
136,20210318,KR7002791002,-52931000
137,20210318,KR700279K010,-20588250
138,20210318,KR7002810000,-14947800
139,20210318,KR7002820009,-2896960
140,20210318,KR7002840007,-18243000
141,20210318,KR7002870004,148553915
142,20210318,KR7002880003,-80662730
143,20210318,KR7002900009,178376300
144,20210318,KR7002920007,-15270315
145,20210318,KR7002960003,179607000
146,20210318,KR7002990000,-73745200
147,20210318,KR7003000007,-1813444500
148,20210318,KR7003010006,22136500
149,20210318,KR7003030004,-10179700
150,20210318,KR7003060001,-76665170
151,20210318,KR7003070000,-62947250
152,20210318,KR7003080009,-3563990
153,20210318,KR7003090008,-7172157100
154,20210318,KR7003120003,-2725300
155,20210318,KR7003160009,-288848700
156,20210318,KR7003200003,171023800
157,20210318,KR7003220001,-65954000
158,20210318,KR7003230000,388315200
159,20210318,KR7003240009,38452000
160,20210318,KR7003300001,4814500
161,20210318,KR7003350006,-7906300
162,20210318,KR7003410008,1773173910
163,20210318,KR7003460003,-9910575
164,20210318,KR7003470002,-111536445
165,20210318,KR7003471000,5381640
166,20210318,KR7003480001,-7702895
167,20210318,KR7003490000,113782200
168,20210318,KR7003491008,13978100
169,20210318,KR7003520004,-362238810
170,20210318,KR7003530003,1149193535
171,20210318,KR7003531001,4970000
172,20210318,KR7003540002,-466665200
173,20210318,KR7003541000,-15970400
174,20210318,KR7003542008,26691200
175,20210318,KR7003550001,-1832844400
176,20210318,KR7003551009,-83437900
177,20210318,KR7003560000,-743534785
178,20210318,KR7003570009,-41298380
179,20210318,KR7003580008,235219630
180,20210318,KR7003610003,13266715
181,20210318,KR7003650009,119755500
182,20210318,KR7003670007,-2103248000
183,20210318,KR7003680006,-35372220
184,20210318,KR7003690005,45576400
185,20210318,KR7003720000,29791530
186,20210318,KR7003780004,333244450
187,20210318,KR7003830007,-16494500
188,20210318,KR7003850005,-1476776800
189,20210318,KR7003920006,90956500
190,20210318,KR7003960002,-16769650
191,20210318,KR7004000006,-403670600
192,20210318,KR7004020004,-2036859700
193,20210318,KR7004060000,1060280095
194,20210318,KR7004080008,532350
195,20210318,KR7004090007,-149776000
196,20210318,KR7004100004,21707770
197,20210318,KR7004101002,169940
198,20210318,KR7004140000,-87464520
199,20210318,KR7004150009,105161655
200,20210318,KR7004170007,-4758698000
201,20210318,KR7004250007,107873665
202,20210318,KR7004270005,-329950465
203,20210318,KR7004310009,11665490
204,20210318,KR7004360004,348610250
205,20210318,KR7004370003,-1123251000
206,20210318,KR7004380002,-65024650
207,20210318,KR7004410007,38896268
208,20210318,KR7004411005,60840
209,20210318,KR7004430005,-120228300
210,20210318,KR7004440004,-67642250
211,20210318,KR7004450003,-605950
212,20210318,KR7004490009,1387059200
213,20210318,KR7004540001,-20930730
214,20210318,KR7004541009,-126700
215,20210318,KR7004560009,-164854800
216,20210318,KR7004690004,44930500
217,20210318,KR7004700001,-30548500
218,20210318,KR7004710000,185299000
219,20210318,KR7004720009,90786490
220,20210318,KR7004770004,1672065
221,20210318,KR7004800009,-20688900
222,20210318,KR7004830006,-182740600
223,20210318,KR7004831004,-74489850
224,20210318,KR7004840005,-2516430
225,20210318,KR7004870002,-136535140
226,20210318,KR7004890000,-13474200
227,20210318,KR7004910006,4966220
228,20210318,KR7004920005,-21389212
229,20210318,KR7004960001,307093050
230,20210318,KR7004970000,-18407100
231,20210318,KR7004980009,-143935110
232,20210318,KR7004990008,-590780850
233,20210318,KR7005010004,47500110
234,20210318,KR7005030002,20060483
235,20210318,KR7005070008,1615653900
236,20210318,KR7005090006,-24567250
237,20210318,KR7005110002,159624925
238,20210318,KR7005180005,-262467300
239,20210318,KR7005190004,-36480150
240,20210318,KR7005250006,-1613317250
241,20210318,KR7005300009,-209143000
242,20210318,KR7005301007,7044200
243,20210318,KR7005320007,178810650
244,20210318,KR7005360003,-236379170
245,20210318,KR7005380001,19692562000
246,20210318,KR7005381009,7822950500
247,20210318,KR7005382007,1309350500
248,20210318,KR7005383005,-201150000
249,20210318,KR7005390000,15055715
250,20210318,KR7005420005,125057500
251,20210318,KR7005430004,-41257900
252,20210318,KR7005440003,-1992136850
253,20210318,KR7005490008,3371231500
254,20210318,KR7005500004,-171593350
255,20210318,KR7005610001,-28533400
256,20210318,KR7005680004,-25826550
257,20210318,KR7005690003,-2772830750
258,20210318,KR7005720008,-9165585
259,20210318,KR7005740006,-8175580
260,20210318,KR7005741004,-7763750
261,20210318,KR7005750005,3803560
262,20210318,KR7005800008,23291900
263,20210318,KR7005810007,-5108450
264,20210318,KR7005820006,-825650
265,20210318,KR7005830005,4237258200
266,20210318,KR7005850003,-246690350
267,20210318,KR7005870001,89875220
268,20210318,KR7005880000,953038295
269,20210318,KR7005930003,209250577900
270,20210318,KR7005931001,-29453300600
271,20210318,KR7005940002,1037907350
272,20210318,KR7005941000,72889360
273,20210318,KR7005950001,-13233300
274,20210318,KR7005960000,-33499150
275,20210318,KR7006040000,53712000
276,20210318,KR7006060008,59763440
277,20210318,KR7006090005,130623550
278,20210318,KR7006110001,83852920
279,20210318,KR7006120000,-1434180800
280,20210318,KR7006121008,-368377300
281,20210318,KR7006200000,27966530
282,20210318,KR7006220008,-1267616240
283,20210318,KR7006260004,-1584632300
284,20210318,KR7006280002,-5172538500
285,20210318,KR7006340004,42006595
286,20210318,KR7006360002,-1972740050
287,20210318,KR7006370001,5888620
288,20210318,KR7006380000,-134814415
289,20210318,KR7006390009,30087300
290,20210318,KR7006400006,53582481000
291,20210318,KR7006401004,1518510500
292,20210318,KR7006490007,1352025245
293,20210318,KR7006570006,3410610
294,20210318,KR7006650006,288744500
295,20210318,KR7006660005,89278010
296,20210318,KR7006740005,35105250
297,20210318,KR7006800007,-3009919510
298,20210318,KR7006801005,-37476960
299,20210318,KR700680K019,-217896405
300,20210318,KR7006840003,-306122700
301,20210318,KR7006880009,4261770
302,20210318,KR7006890008,-278596350
303,20210318,KR7006980007,-282756100
304,20210318,KR7007070006,2775596700
305,20210318,KR7007110000,-10760200
306,20210318,KR7007120009,121320447
307,20210318,KR7007160005,-19170500
308,20210318,KR7007210008,78901805
309,20210318,KR7007280001,3740615
310,20210318,KR7007310006,171521000
311,20210318,KR7007340003,-21437600
312,20210318,KR7007460009,935568655
313,20210318,KR7007540008,-17201000
314,20210318,KR7007570005,-1656364250
315,20210318,KR7007590003,-31002750
316,20210318,KR7007610009,-183771275
317,20210318,KR7007660004,-68798590
318,20210318,KR7007690001,12652600
319,20210318,KR7007700008,-1820807000
320,20210318,KR7007810005,1924550
321,20210318,KR7007860000,-1180223100
322,20210318,KR7007980006,163765
323,20210318,KR7008040008,-105522185
324,20210318,KR7008060006,-138285140
325,20210318,KR700806K010,6990770
326,20210318,KR7008110009,-2398010
327,20210318,KR7008250003,106040960
328,20210318,KR7008260002,105409090
329,20210318,KR7008350001,24206315
330,20210318,KR7008420002,394425180
331,20210318,KR7008490005,-320685300
332,20210318,KR7008560005,-1117839265
333,20210318,KR7008600009,-3461920
334,20210318,KR7008700007,-386058850
335,20210318,KR7008730004,284492250
336,20210318,KR7008770000,-3112135200
337,20210318,KR7008771008,-125955700
338,20210318,KR7008870008,1682400
339,20210318,KR7008930000,-190273200
340,20210318,KR7008970006,-160011530
341,20210318,KR7009070004,-67183710
342,20210318,KR7009140005,-1445150
343,20210318,KR7009150004,1054317500
344,20210318,KR7009151002,-675970500
345,20210318,KR7009160003,34584340
346,20210318,KR7009180001,-20086950
347,20210318,KR7009190000,136521125
348,20210318,KR7009200007,12959175
349,20210318,KR7009240003,875218000
350,20210318,KR7009270000,-63421475
351,20210318,KR7009271008,-346300
352,20210318,KR7009290008,-218229240
353,20210318,KR7009310004,-132390495
354,20210318,KR7009320003,125994505
355,20210318,KR7009410002,582250650
356,20210318,KR7009411000,37017800
357,20210318,KR7009420001,-1095975050
358,20210318,KR7009440009,-14259190
359,20210318,KR7009450008,32074400
360,20210318,KR7009460007,633524985
361,20210318,KR7009470006,-14038800
362,20210318,KR7009540006,2346909000
363,20210318,KR7009580002,-16782510
364,20210318,KR7009680000,76255450
365,20210318,KR7009770009,-2327350
366,20210318,KR7009810003,19676113
367,20210318,KR7009830001,7024585500
368,20210318,KR7009831009,11841500
369,20210318,KR7009900002,1162991050
370,20210318,KR7009970005,-354495500
371,20210318,KR7010040004,107056875
372,20210318,KR7010050003,-241716525
373,20210318,KR7010060002,-5287188000
374,20210318,KR7010100006,135433315
375,20210318,KR7010120004,-1562524700
376,20210318,KR7010130003,860122000
377,20210318,KR7010140002,-793466120
378,20210318,KR7010141000,3040000
379,20210318,KR7010400000,-16476930
380,20210318,KR7010420008,43616970
381,20210318,KR7010600005,19531345
382,20210318,KR7010620003,-141037300
383,20210318,KR7010640001,20713970
384,20210318,KR7010660009,20436725
385,20210318,KR7010690006,147962720
386,20210318,KR7010770006,-8077665
387,20210318,KR7010780005,32930700
388,20210318,KR7010820009,-73268755
389,20210318,KR7010950004,-2907507000
390,20210318,KR7010951002,-41555200
391,20210318,KR7010960003,-60389180
392,20210318,KR7011000007,-502829850
393,20210318,KR7011070000,-4021766500
394,20210318,KR7011090008,466393875
395,20210318,KR7011150000,459014950
396,20210318,KR7011170008,-8181536000
397,20210318,KR7011200003,45332703000
398,20210318,KR7011210002,1197800800
399,20210318,KR7011230000,33581650
400,20210318,KR7011280005,89515575
401,20210318,KR7011300001,-523325369
402,20210318,KR7011330008,167581940
403,20210318,KR7011390002,9926000
404,20210318,KR7011420007,60209800
405,20210318,KR7011500006,-45965150
406,20210318,KR7011700002,-10919500
407,20210318,KR7011760006,-134346750
408,20210318,KR7011780004,-2319955000
409,20210318,KR7011781002,70051800
410,20210318,KR7011810009,-9525990
411,20210318,KR7011930005,4925874645
412,20210318,KR7012030003,89478359
413,20210318,KR7012160008,45255420
414,20210318,KR7012200002,208751080
415,20210318,KR7012280004,101373550
416,20210318,KR7012320008,-13509300
417,20210318,KR7012330007,-10174256500
418,20210318,KR7012450003,-1156170300
419,20210318,KR7012510004,-161778500
420,20210318,KR7012600003,-61722495
421,20210318,KR7012610002,134397940
422,20210318,KR7012630000,357587950
