회사명,거래소코드,회계년도,유동자산(요약)(백만원),부채총계(요약)(백만원)
(주)BNK금융지주,138930,2020/12,,
(주)CMG제약,058820,2020/12,145981,14225
(주)DB하이텍,000990,2020/12,455643,384020
(주)ES큐브,050120,2020/12,7524,9046
(주)HJ중공업,097230,2020/12,1067320,1868707
(주)JB금융지주,175330,2020/12,,
(주)KB금융지주,105560,2020/12,,
(주)MH에탄올,023150,2020/12,20504,39906
(주)SH에너지화학,002360,2020/12,64490,26753
(주)SIMPAC,009160,2020/12,259868,222410
(주)SNT에너지,100840,2020/12,199128,95507
(주)SNT홀딩스,036530,2020/12,22395,277
(주)STX,011810,2020/12,156654,336998
(주)TCC스틸,002710,2020/12,110333,162955
(주)가비아,079940,2020/12,20369,39723
(주)가온칩스,399720,2020/12,20212,14657
(주)강스템바이오텍,217730,2020/12,39797,16666
(주)강원랜드,035250,2020/12,1486092,391230
(주)강원에너지,114190,2020/12,21887,15787
(주)갤럭시아에스엠,011420,2020/12,14290,7835
(주)경농,002100,2020/12,148340,101836
(주)경동나비엔,009450,2020/12,269865,254061
(주)경동도시가스,267290,2020/12,325890,342314
(주)경동인베스트,012320,2020/12,35139,1447
(주)경방,000050,2020/12,67254,452924
(주)경보제약,214390,2020/12,138192,97182
(주)경인양행,012610,2020/12,164229,194513
(주)고려시멘트,198440,2020/12,38514,22975
(주)고바이오랩,348150,2020/12,54628,1541
(주)고영테크놀러지,098460,2020/12,201322,50453
(주)골드앤에스,035290,2020/12,9045,6146
(주)골드퍼시픽,038530,2020/12,42322,11682
(주)골프존,215000,2020/12,104804,119466
(주)골프존뉴딘홀딩스,121440,2020/12,42269,93885
(주)공구우먼,366030,2020/12,12003,2726
(주)광림,014200,2020/12,54598,86736
(주)광명전기,017040,2020/12,93190,50685
(주)광무,029480,2020/12,19658,12870
(주)광주신세계,037710,2020/12,142419,86160
(주)구영테크,053270,2020/12,47351,92403
(주)국동,005320,2020/12,88623,67030
(주)국보,001140,2020/12,26063,42971
