,종목코드,외국인체결강도
0,000020,82.8318
1,000040,99.4166
2,000050,76.541
3,000060,157.1337
4,000070,103.0182
5,000071,0.0
6,000080,102.7151
7,000082,82.9493
8,000100,107.7696
9,000101,67.9491
10,000120,148.0031
11,000140,90.0838
12,000150,99.2697
13,000151,44.7143
14,000152,79.1667
15,000180,55.1848
16,000210,84.1645
17,000211,45.431
18,000220,94.9143
19,000221,392.1944
20,000230,26.1737
21,000240,73.3825
22,000270,79.4314
23,000300,100.2644
24,000320,320.1342
25,000370,128.8861
26,000390,100.9701
27,000400,65.6555
28,000430,116.0799
29,000480,48.556
30,000490,131.2706
31,000500,77.1762
32,000520,128.6719
33,000540,89.2571
34,000541,100.0
35,000542,inf
36,000590,97.3091
37,000640,32.987
38,000650,14.6067
39,000660,99.2498
40,000670,83.1398
41,000680,180.1443
42,000700,100.4447
43,000720,140.5368
44,000721,9.6774
45,000760,57.2816
46,000810,128.9589
47,000811,228.8047
48,000850,83.6018
49,000860,122.0214
50,000880,140.8024
51,000881,0.0
52,00088K,43.9715
53,000890,86.5574
54,000910,99.0572
55,000950,141.7109
56,000970,174.2765
57,000990,88.231
58,001020,156.086
59,001040,91.5827
60,001041,25.9436
61,00104K,61.1253
62,001060,71.3062
63,001062,inf
64,001070,104.8534
65,001080,53.9244
66,001120,121.0321
67,001130,116.7203
68,001140,95.566
69,001200,93.4651
70,001210,148.4616
71,001230,93.8782
72,001250,189.4247
73,001260,101.2663
74,001270,753.9419
75,001290,207.6612
76,001340,95.2491
77,001360,100.2965
78,001380,98.9535
79,001390,96.5676
80,001420,105.2397
81,001430,221.2798
82,001440,84.1491
83,001450,146.7484
84,001460,49.6599
85,001461,0.0
86,001470,109.5566
87,001500,132.6501
88,001510,106.364
89,001511,18.251
90,001520,125.188
91,001530,48.4899
92,001550,263.5354
93,001560,127.8922
94,001570,90.5285
95,001620,98.847
96,001630,86.7948
97,001680,55.5488
98,001681,2.2489
99,001720,204.3085
100,001721,239.7146
101,001740,97.2232
102,001741,0.0
103,001750,105.1504
104,001770,68.572
105,001780,108.6126
106,001790,139.2477
107,001791,125.9816
108,001800,109.4664
109,001820,75.8039
110,001880,78.0827
111,001940,29.6124
112,002020,122.2997
113,002021,337.9817
114,002030,104.818
115,002070,93.3192
116,002100,125.1854
117,002140,133.7215
118,002150,151.2202
119,002170,226.6597
120,002200,121.9594
121,002210,80.8082
122,002220,125.9797
123,002240,119.2014
124,002270,140.9522
125,002310,88.9819
126,002320,81.326
127,002350,62.9335
128,002360,105.7596
129,002380,156.2224
130,002390,118.2961
131,002410,92.0268
132,002450,130.301
133,002460,84.0704
134,002620,71.1487
135,002630,108.3689
136,002690,86.9424
137,002700,88.5293
138,002710,100.6723
139,002720,104.9624
140,002760,120.5709
141,002780,105.2501
142,002781,4.9468
143,002782,85.7143
144,002790,78.1295
145,002791,111.2665
146,00279K,138.7347
147,002810,89.0405
148,002820,228.2903
149,002840,107.4668
150,002870,105.6163
151,002880,80.1103
152,002900,106.7158
153,002920,43.3809
154,002960,248.6639
155,002990,156.4883
156,002991,0.0
157,003000,80.217
158,003010,85.8538
159,003030,139.2087
160,003060,84.4333
161,003070,121.3899
162,003071,0.0
163,003080,99.8219
164,003090,51.8139
165,003120,112.0722
166,003160,87.0985
167,003200,144.5774
168,003220,61.4328
169,003230,44.7661
170,003240,58.2228
171,003300,107.6677
172,003350,91.423
173,003410,166.2761
174,003460,247.3432
175,003470,95.7289
176,003471,106.678
177,003480,121.212
178,003490,57.1567
179,003491,91.0404
180,003520,59.0914
181,003530,96.1137
182,003531,92.1215
183,003540,47.1172
184,003541,29.9526
185,003542,201.2599
186,003550,123.6232
187,003551,53.0917
188,003560,82.5231
189,003570,54.8435
190,003580,98.1632
191,003610,106.7809
192,003650,202.0029
193,003670,130.24
194,003680,112.2138
195,003690,121.8105
196,003720,117.3936
197,003780,100.4259
198,003830,14.9449
199,003850,92.3315
200,003920,182.9967
201,003921,0.0
202,003960,121.6573
203,004000,131.7604
204,004020,146.7131
205,004060,105.5657
206,004080,27.6647
207,004090,91.769
208,004100,95.6235
209,004101,inf
210,004140,104.8669
211,004150,194.3089
212,004170,121.9998
213,004250,141.9829
214,004270,92.3087
215,004310,74.2203
216,004360,241.854
217,004370,51.4654
218,004380,112.1649
219,004410,101.3045
220,004411,6033.3333
221,004430,76.9837
222,004440,132.6158
223,004450,3.2258
224,004490,118.0063
225,004540,89.3083
226,004541,1651.7056
227,004560,81.7196
228,004690,92.1856
229,004700,62.3486
230,004710,136.3112
231,004720,88.9706
232,004770,103.0502
233,004800,184.2136
234,004830,93.7869
235,004831,99.0768
236,004840,92.4609
237,004870,90.2866
238,004890,14.425
239,004910,97.3845
240,004920,152.385
241,004960,102.2149
242,004970,58.9418
243,004980,126.6388
244,004981,148.6395
245,004990,59.8899
246,005010,133.8845
247,005030,207.4118
248,005070,124.897
249,005090,147.068
250,005110,183.8939
251,005180,72.5901
252,005190,66.7866
253,005250,78.1133
254,005300,135.0169
255,005301,188.4726
256,005320,99.9684
257,005360,81.8392
258,005380,86.3889
259,005381,88.9938
260,005382,103.6769
261,005383,25.5688
262,005390,77.4893
263,005420,121.6196
264,005430,123.9466
265,005440,45.9439
266,005490,112.0502
267,005500,38.3083
268,005610,162.8813
269,005680,34.5616
270,005690,67.737
271,005720,82.0561
272,005740,121.3557
273,005741,124.6616
274,005750,136.973
275,005800,166.6667
