,종목코드,PER,PBR,EPS,BPS,DIV,DPS
0,060310,0.0,3.21,0,745,0.0,0
1,054620,0.0,0.92,0,10530,0.0,0
2,265520,42.7,3.84,671,7468,0.17,50
3,211270,307.84,2.87,51,5479,0.45,70
4,035760,26.8,1.06,5310,134364,0.98,1400
5,051500,56.34,1.44,434,16967,1.02,250
6,058820,175.4,3.38,25,1297,0.0,0
7,023460,6.44,0.97,424,2811,1.1,30
8,056000,0.0,2.33,0,1229,0.0,0
9,065770,0.0,2.37,0,1155,0.0,0
10,083660,0.0,2.28,0,836,0.0,0
11,367340,0.0,0.0,0,0,0.0,0
12,367360,0.0,0.0,0,0,0.0,0
13,068790,11.04,1.18,768,7205,0.88,75
14,241520,25.15,4.36,233,1343,0.0,0
15,245620,0.0,8.84,0,560,0.0,0
16,037370,0.0,2.63,0,4426,0.0,0
17,079190,23.17,2.86,120,971,0.0,0
18,130500,29.31,1.53,204,3899,0.0,0
19,083450,10.85,2.05,2010,10657,0.92,200
20,028150,8.18,0.86,18339,174659,4.33,6500
21,045890,0.0,0.3,0,811,0.0,0
22,078150,77.2,1.56,41,2025,0.63,20
23,036640,97.67,1.31,60,4475,0.0,0
24,335870,0.0,0.0,0,0,0.0,0
25,351340,0.0,0.0,0,0,0.0,0
26,351320,0.0,0.0,0,0,0.0,0
27,373200,0.0,0.0,0,0,0.0,0
28,095340,69.94,1.81,311,12011,0.23,50
29,099520,0.0,2.15,0,598,0.0,0
30,067290,170.3,3.71,33,1514,1.07,60
31,035900,37.59,7.95,947,4477,0.44,155
32,024840,11.68,0.84,196,2735,0.0,0
33,024120,10.54,1.1,930,8912,2.35,230
34,021320,6.93,0.52,1319,17642,1.64,150
35,036670,8.99,1.65,1061,5775,2.1,200
36,044180,0.0,0.52,0,2170,0.0,0
37,151860,2.29,0.95,2789,6733,1.72,110
38,046440,15.98,1.31,619,7541,2.02,200
39,035600,10.64,2.2,1847,8937,1.68,330
40,060720,0.0,2.78,0,7998,0.0,0
41,122450,34.28,2.37,334,4835,0.61,70
42,052900,41.56,1.47,48,1358,0.0,0
43,058400,32.79,1.35,61,1479,1.0,20
44,114450,104.5,2.08,80,4024,0.0,0
45,036030,283.75,1.98,40,5741,0.0,0
46,060370,255.83,1.31,24,4680,0.49,30
47,065150,81.36,3.55,11,252,0.0,0
48,219550,0.0,1.86,0,536,0.0,0
49,160550,0.0,3.32,0,3979,0.0,0
50,053290,203.39,3.09,59,3886,0.0,0
51,104200,19.21,1.44,341,4560,0.0,0
52,060250,48.17,9.65,1040,5192,0.46,230
53,030190,37.17,6.87,682,3692,0.91,230
54,078590,0.0,8.8,0,442,0.0,0
55,178920,75.79,5.34,603,8557,0.69,315
56,024940,9.12,1.37,577,3828,0.48,25
57,218410,44.52,4.57,857,8351,0.52,200
58,091340,3.74,0.67,1368,7586,0.0,0
59,019550,24.65,3.0,71,583,0.0,0
60,046140,273.08,0.98,26,7234,0.0,0
61,036120,33.12,7.66,141,610,1.48,69
62,099220,32.58,1.85,93,1642,0.0,0
63,036540,51.71,3.65,146,2066,0.0,0
64,255220,6.62,0.99,287,1924,0.0,0
65,040610,58.78,0.41,49,7017,0.0,0
66,049470,0.0,1.77,0,577,0.0,0
67,184230,0.0,2.89,0,496,0.0,0
68,016250,8.46,0.59,6410,91954,2.77,1500
69,307070,0.0,0.0,0,0,0.0,0
70,337450,0.0,0.0,0,0,0.0,0
71,340350,0.0,0.0,0,0,0.0,0
72,036490,23.03,6.95,13507,44730,1.24,3850
73,048550,45.5,1.47,40,1237,0.0,0
74,063440,0.0,3.1,0,1084,0.0,0
75,289080,0.0,4.46,0,1006,0.67,30
76,089230,0.0,1.9,0,574,0.0,0
77,161570,0.0,0.87,0,2085,0.0,0
78,032540,60.94,0.69,64,5642,1.28,50
79,048770,0.0,2.13,0,2030,0.35,15
80,246690,24.3,3.41,201,1434,0.51,25
81,317240,0.0,0.0,0,0,0.0,0
82,038340,0.0,0.4,0,1110,0.0,0
83,073570,75.25,2.81,20,536,0.0,0
84,052300,0.0,0.71,0,429,0.0,0
85,057030,65.55,2.79,110,2583,0.0,0
86,040300,0.0,0.9,0,4410,0.25,10
87,051390,21.61,0.75,218,6272,1.06,50
88,052220,49.68,2.04,93,2270,0.0,0
89,079940,18.83,2.87,826,5410,0.26,40
90,078890,9.76,1.14,1204,10280,0.85,100
91,192410,6.34,0.26,711,17361,0.0,0
92,217730,0.0,2.33,0,2936,0.0,0
93,114190,0.0,2.06,0,1211,0.0,0
94,094480,35.71,3.55,233,2344,0.66,55
95,063080,23.29,1.29,2110,38098,0.0,0
96,044480,0.0,0.8,0,3458,0.0,0
97,039240,15.03,0.8,186,3487,3.22,90
98,053950,0.0,1.96,0,3588,0.0,0
99,223310,0.0,0.69,0,4820,0.0,0
100,011040,11.64,1.16,850,8539,4.04,400
101,024910,0.0,1.34,0,2134,0.0,0
102,198440,36.89,1.41,106,2766,0.38,15
103,049720,14.22,4.29,476,1577,3.69,250
104,014570,31.65,1.91,357,5914,0.88,100
105,348150,0.0,0.0,0,0,0.0,0
106,098460,52.46,6.47,2192,17763,0.48,550
107,038530,0.0,2.02,0,629,0.0,0
108,215000,34.85,2.83,2585,31877,2.28,2050
109,121440,0.0,0.68,0,10475,1.64,117
110,014200,0.0,1.15,0,1480,0.0,0
111,026910,0.0,1.04,0,4384,0.0,0
112,090150,19.24,0.99,223,4315,2.33,100
113,355150,0.0,0.0,0,0,0.0,0
114,331520,0.0,0.0,0,0,0.0,0
115,053270,35.81,1.79,136,2717,0.62,30
116,066620,9.49,1.32,2293,16449,1.38,300
117,043650,0.0,0.72,0,11214,1.25,100
118,006050,89.06,1.88,32,1514,0.53,15
119,060480,0.0,1.06,0,4269,1.1,50
120,078130,0.0,16.25,0,357,0.0,0
121,307750,0.0,0.0,0,0,0.0,0
122,204020,35.39,0.86,89,3678,0.95,30
123,186230,36.94,3.26,337,3824,0.0,0
124,204620,19.88,1.66,163,1953,0.0,0
125,019660,0.0,6.53,0,714,0.0,0
126,053260,26.42,1.19,265,5902,1.43,100
127,036190,6.46,0.75,4614,39902,4.36,1300
128,049080,0.0,3.85,0,526,0.0,0
129,035460,12.62,1.33,231,2198,0.0,0
130,308100,12.33,1.15,1083,11624,0.0,0
131,187790,84.17,0.78,18,1954,0.0,0
132,286750,0.0,6.2,0,3103,0.0,0
133,151910,0.0,21.34,0,336,0.0,0
134,121600,52.13,3.28,541,8591,0.43,120
135,247660,0.0,23.47,0,750,0.0,0
136,039860,32.47,4.6,219,1546,0.0,0
137,091970,0.0,0.95,0,2292,0.0,0
138,051490,127.18,1.77,78,5596,0.6,60
139,190510,0.0,3.28,0,3231,0.0,0
140,242040,21.37,4.73,131,592,0.0,0
141,089600,19.11,2.79,2156,14753,1.6,660
142,293580,34.13,1.43,312,7428,1.41,150
143,138610,0.0,12.99,0,2767,0.0,0
144,130580,14.72,2.85,686,3540,1.73,175
145,036800,9.65,1.35,3212,23005,1.48,460
146,267320,0.0,0.0,0,0,0.0,0
147,111710,64.6,1.48,150,6556,0.52,50
148,091590,25.24,0.95,424,11305,0.65,70
149,168330,0.0,2.5,0,1010,0.0,0
150,094860,0.0,10.28,0,214,0.0,0
151,253590,0.0,3.53,0,999,0.28,10
152,212560,26.94,0.85,317,10077,0.59,50
153,095660,20.65,1.59,1133,14741,0.0,0
154,042420,14.35,0.99,2529,36556,0.34,123
155,311390,47.8,1.51,164,5197,0.0,0
156,085910,29.85,1.04,135,3880,6.2,250
157,092730,13.05,2.61,2570,12878,2.24,750
158,290660,0.0,3.36,0,907,0.0,0
159,306620,1030.0,2.26,4,1822,0.0,0
160,153460,0.0,1.69,0,3674,0.0,0
161,007390,623.13,7.45,16,1338,0.0,0
162,033640,27.98,4.17,1349,9053,0.72,270
163,330860,57.86,11.39,763,3876,0.0,0
164,089140,32.37,2.06,539,8455,0.57,100
165,065170,0.0,1.87,0,734,0.0,0
166,137940,0.0,1.3,0,1028,0.0,0
167,348210,0.0,412.78,0,180,0.0,0
168,041140,161.18,4.51,85,3040,0.0,0
169,217270,0.0,9.1,0,2945,0.0,0
170,225570,0.0,10.02,0,1323,0.0,0
171,104620,0.0,2.06,0,11795,0.82,200
172,194700,21.89,3.97,1850,10195,0.49,200
173,285490,70.8,13.67,548,2838,0.62,242
174,278650,39.92,4.65,650,5581,0.0,0
175,144510,0.0,24.32,0,4174,0.02,25
176,031390,45.18,5.97,923,6986,0.24,100
177,142280,0.0,4.23,0,2348,0.0,0
178,234690,31.38,2.68,400,4685,0.64,80
179,065560,0.0,1.31,0,4418,0.0,0
180,054050,28.78,0.87,436,14399,1.59,200
181,040160,9.36,1.26,761,5666,0.7,50
182,069140,0.0,1.71,0,4313,0.0,0
183,126870,0.0,0.81,0,2748,0.0,0
184,060260,22.58,1.8,66,826,0.0,0
185,012340,0.0,4.18,0,899,0.0,0
186,214870,0.0,3.95,0,2710,0.0,0
187,270870,27.79,4.63,1056,6336,0.51,150
188,144960,46.59,1.92,135,3269,0.0,0
189,085670,0.0,0.8,0,2301,0.0,0
190,119860,18.33,3.98,1822,8387,1.2,400
191,064260,19.59,2.68,434,3168,0.0,0
192,093640,57.36,1.55,53,1961,0.0,0
193,039560,202.94,2.07,51,5002,0.0,0
194,032190,7.18,0.81,1782,15886,1.41,180
195,068240,117.42,2.41,155,7550,0.55,100
196,020400,0.0,0.71,0,13552,0.62,60
197,008830,0.0,0.64,0,6383,0.61,25
198,048470,174.38,0.91,32,6111,0.54,30
199,004780,17.45,0.88,337,6719,1.7,100
200,017650,48.57,0.8,280,17050,0.0,0
201,007720,2.3,0.89,633,1643,0.0,0
202,317850,21.83,0.98,235,5213,1.36,70
203,290670,54.13,5.89,593,5448,0.0,0
204,078140,19.54,1.39,517,7289,0.5,50
205,036480,25.67,2.08,750,9235,0.44,85
206,025440,0.0,3.41,0,387,0.0,0
207,027830,0.0,3.11,0,1250,0.0,0
208,104040,70.64,1.63,39,1693,0.0,0
209,332290,0.0,0.0,0,0,0.0,0
210,336570,0.0,0.0,0,0,0.0,0
211,369370,0.0,0.0,0,0,0.0,0
212,020180,50.26,2.89,39,678,0.51,10
213,045390,172.67,3.9,30,1327,0.39,20
214,108380,12.63,0.78,1334,21740,1.19,200
215,006580,3.05,0.65,1070,5010,1.23,40
216,007680,11.36,0.38,845,25261,2.6,250
217,048910,246.67,3.56,90,6244,0.0,0
218,005710,3.88,0.49,1950,15540,1.65,125
219,290380,26.7,2.07,543,6992,1.72,250
220,290120,9.55,1.63,733,4288,2.86,200
221,120240,29.94,1.5,855,17078,1.17,300
222,003310,42.06,1.46,51,1472,1.4,30
223,078600,0.0,7.87,0,5269,0.0,0
224,096350,0.0,1.12,0,412,0.0,0
225,140520,0.0,0.62,0,4685,3.42,100
226,131220,76.67,3.34,165,3788,0.47,60
227,010170,0.0,1.36,0,2433,0.0,0
228,060900,0.0,13.62,0,188,0.0,0
229,054670,10.41,2.66,1085,4254,0.0,0
230,023910,7.75,1.31,4694,27796,1.1,400
231,021040,81.4,0.87,10,933,0.0,0
232,021045,0.0,0.0,0,0,0.0,0
233,067080,19.67,2.71,600,4354,1.27,150
234,298540,16.55,4.3,3167,12200,0.0,0
235,299170,0.0,0.0,0,0,0.0,0
236,035290,0.0,26.1,0,50,0.0,0
237,213420,56.7,6.79,798,6662,0.0,0
238,317330,28.52,2.51,696,7900,0.0,0
239,077360,21.31,1.35,563,8904,0.0,0
240,090410,37.18,0.8,39,1814,0.0,0
241,263600,14.89,1.48,556,5581,1.69,140
242,194480,0.0,12.51,0,9195,0.0,0
243,263800,0.0,3.55,0,1623,0.0,0
244,206560,0.0,3.58,0,2242,0.0,0
245,261200,0.0,0.0,0,0,0.0,0
246,067990,3.47,0.81,2036,8689,0.0,0
247,006620,20.52,3.64,536,3018,0.91,100
248,100130,39.65,1.48,171,4582,1.47,100
249,005160,13.69,0.51,263,7054,3.61,130
250,075970,40.79,1.4,140,4066,1.4,80
251,086450,21.82,3.49,1283,8031,0.57,160
252,099410,0.0,0.85,0,2108,0.0,0
253,033500,21.85,3.94,634,3517,1.59,220
254,025950,421.5,4.06,100,10388,0.0,0
255,088130,8.25,0.59,1111,15454,1.64,150
256,041930,17.69,1.77,684,6826,0.41,50
257,060380,24.75,0.96,101,2615,4.0,100
258,079960,5.53,0.63,3154,27524,1.72,300
259,228340,0.0,1.16,0,6112,0.0,0
260,088910,33.58,0.47,102,7357,0.0,0
261,094170,21.97,7.35,503,1503,0.45,50
262,013120,5.79,0.64,933,8492,3.15,170
