,종목코드,PER,PBR,EPS,BPS,DIV,DPS
0,095570,24.72,1.19,288,5980,0.84,60
1,068400,35.64,1.22,362,10537,0.0,0
2,006840,13.05,1.56,5585,46834,0.75,550
3,027410,3.43,0.68,3816,19215,6.11,800
4,282330,0.0,0.0,0,0,0.0,0
5,138930,6.83,0.5,1522,20810,2.21,230
6,001460,10.37,0.61,27784,468849,0.28,800
7,001465,0.0,0.0,0,0,0.56,850
8,001040,20.29,1.34,7837,118834,0.85,1350
9,079160,116.64,3.85,583,17654,0.51,350
10,000120,43.43,1.34,3166,102843,0.0,0
11,011150,18.32,1.78,149,1530,0.0,0
12,011155,0.0,0.0,0,0,0.0,0
13,001045,0.0,0.0,0,0,2.03,1400
14,097950,16.47,1.37,19522,235302,0.78,2500
15,097955,0.0,0.0,0,0,1.9,2550
16,037560,30.18,0.67,278,12482,0.89,75
17,000590,9.45,0.41,8045,185295,0.66,500
18,012030,0.0,1.0,0,832,0.0,0
19,016610,1373.33,0.29,3,14326,0.0,0
20,005830,7.86,1.1,8273,58894,2.54,1650
21,000990,7.22,1.92,2042,7682,0.0,0
22,000995,0.0,0.0,0,0,0.0,0
23,139130,6.84,0.54,1702,21773,2.58,300
24,004840,3.43,0.42,2102,17081,1.11,80
25,155660,8.35,0.68,672,8252,0.89,50
26,069730,9.95,0.68,603,8780,0.67,40
27,017940,0.0,0.37,0,161644,3.34,2000
28,007700,20.68,2.76,1963,14721,0.86,350
29,114090,13.9,3.06,1849,8386,3.89,1000
30,078930,7.3,0.84,8509,73540,2.58,1600
31,006360,0.0,0.64,0,46180,0.0,0
32,001250,12.71,0.97,290,3787,0.0,0
33,007070,9.17,1.26,3562,25842,3.37,1100
34,078935,0.0,0.0,0,0,4.05,1650
35,003560,93.55,1.89,31,1533,0.0,0
36,175330,6.74,0.42,918,14663,0.81,50
37,234080,27.36,4.59,1915,11406,1.15,600
38,001060,0.0,3.32,0,12820,0.59,250
39,001067,0.0,0.0,0,0,0.62,250
40,001065,0.0,0.0,0,0,1.15,275
41,096760,0.0,4.4,0,1876,0.91,75
42,105560,10.86,0.82,5588,74138,2.06,1250
43,002380,22.3,0.61,15491,564197,2.6,9000
44,009070,9.69,0.45,272,5896,1.33,35
45,009440,25.78,0.77,211,7044,1.84,100
46,119650,71.17,1.03,77,5305,0.73,40
47,092220,322.5,0.58,4,2215,0.0,0
48,109070,0.0,2.9,0,2020,0.0,0
49,001390,22.3,1.46,1175,17950,1.34,350
50,001940,4.37,0.32,14995,202798,1.37,900
51,083420,32.01,0.8,144,5775,3.47,160
52,025000,9.08,0.71,6782,87108,3.25,2000
53,092230,8.8,0.47,7238,136803,3.3,2100
54,000040,0.0,1.15,0,502,0.0,0
55,044450,14.75,0.85,585,10177,1.97,170
56,030200,9.49,0.63,2904,43820,2.9,800
57,033780,10.25,1.95,9759,51319,3.6,3600
58,030210,10.84,0.77,458,6431,0.0,0
59,058850,12.4,0.64,183,3530,3.52,80
60,093050,15.76,0.77,1767,36006,1.8,500
61,003550,14.08,1.09,6114,78889,1.51,1300
62,034220,10.32,0.72,2534,36209,1.91,500
63,001120,18.15,0.85,1504,32221,0.92,250
64,051900,35.63,8.45,33905,142927,0.62,7500
65,051905,0.0,0.0,0,0,1.05,7550
66,003555,0.0,0.0,0,0,2.95,1350
67,032640,10.85,1.11,1129,11054,2.86,350
68,011070,602.87,1.68,209,75145,0.2,250
69,066570,259.48,1.65,422,66288,0.37,400
70,066575,0.0,0.0,0,0,1.01,450
71,108670,10.41,0.84,7524,93736,2.3,1800
72,108675,0.0,0.0,0,0,4.16,1850
73,051910,22.13,2.04,17417,188597,1.3,5000
74,051915,0.0,0.0,0,0,2.3,5050
75,079550,13.75,1.68,3502,28711,1.95,940
76,006260,12.3,0.98,6056,76132,1.68,1250
77,000680,0.0,0.41,0,7650,0.0,0
78,010120,22.31,1.73,2752,35486,1.3,800
79,229640,16.88,1.84,436,4009,2.04,150
80,023150,5.84,0.76,1129,8617,4.55,300
81,035420,30.76,7.26,25746,109055,0.14,1131
82,181710,104.15,0.91,651,74766,0.0,0
83,005940,17.93,0.92,789,15448,2.83,400
84,005945,0.0,0.0,0,0,5.03,450
85,034310,10.86,1.19,1473,13477,0.81,130
86,008260,8.74,1.03,360,3055,1.59,50
87,004250,5.87,0.97,966,5845,1.41,80
88,004255,0.0,0.0,0,0,3.37,85
89,010060,15.47,1.17,10151,133995,0.25,400
90,005490,19.58,0.67,16627,486007,2.46,8000
91,100840,61.45,0.44,227,31532,0.0,0
92,064960,16.84,0.84,2316,46542,2.56,1000
93,003570,0.0,0.39,0,20125,0.0,0
94,036530,82.25,0.38,169,36293,2.52,350
95,010950,11.59,2.19,10353,54814,5.17,6200
96,010955,0.0,0.0,0,0,6.46,6225
97,034120,0.0,0.89,0,29623,0.0,0
98,101060,32.89,0.6,90,4917,0.84,25
99,004060,0.0,0.85,0,987,0.0,0
100,001380,0.0,0.97,0,2820,0.0,0
101,002360,8.77,1.54,162,920,3.87,55
102,009160,7.37,0.54,603,8266,2.25,100
103,123700,4.61,0.44,961,10177,4.51,200
104,025530,10.55,0.5,418,8884,4.54,200
105,034730,21.64,1.6,13676,184873,1.25,3700
106,011790,32.92,1.02,1162,37457,1.96,750
107,018670,4.92,0.62,19496,153747,2.71,2600
108,001740,0.0,0.59,0,9778,1.73,100
109,001745,0.0,0.0,0,0,0.2,125
110,006120,9.73,0.57,4264,72380,0.84,350
111,006125,0.0,0.0,0,0,2.18,400
112,210980,17.14,2.21,1686,13056,1.83,530
113,03473K,0.0,0.0,0,0,2.31,3750
114,096770,11.77,1.16,17934,182504,3.03,6400
115,096775,0.0,0.0,0,0,4.61,6450
116,001510,33.06,0.93,36,1281,0.0,0
117,001515,0.0,0.0,0,0,0.0,0
118,285130,0.0,0.0,0,0,0.0,0
119,28513K,0.0,0.0,0,0,0.0,0
120,017670,9.94,1.18,23497,197799,4.28,10000
121,000660,19.43,2.46,4184,32990,0.74,600
122,005610,21.14,3.69,5914,33899,0.76,956
123,011810,0.0,0.0,0,0,0.0,0
124,077970,0.0,3.16,0,3878,0.0,0
125,071970,0.0,0.0,0,0,0.0,0
126,084870,0.0,0.71,0,9942,0.0,0
127,002710,2.34,0.41,807,4610,0.0,0
128,024070,29.13,0.47,126,7868,2.72,100
