,종목코드,종목명,PER,PBR,시가총액
0,060310,3S,0.0,3.21,108282.0
1,054620,APS홀딩스,0.0,0.92,197824.0
2,265520,AP시스템,42.7,3.84,414859.0
3,211270,AP위성,307.84,2.87,236478.0
4,035760,CJ ENM,26.8,1.06,3120519.0
5,051500,CJ프레시웨이,56.34,1.44,290260.0
6,058820,CMG제약,175.4,3.38,609042.0
7,023460,CNH,6.44,0.97,101556.0
8,056000,COWON,0.0,2.33,56400.0
9,065770,CS,0.0,2.37,51608.0
10,083660,CSA 코스믹,0.0,2.28,70808.0
11,367340,DB금융스팩8호,0.0,0.0,12584.0
12,367360,DB금융스팩9호,0.0,0.0,9898.0
13,068790,DMS,11.04,1.18,208380.0
14,241520,DSC인베스트먼트,25.15,4.36,162192.0
15,245620,EDGC,0.0,8.84,212526.0
16,037370,EG,0.0,2.63,87375.0
17,079190,EMW,23.17,2.86,88360.0
18,130500,GH신소재,29.31,1.53,65780.0
19,083450,GST,10.85,2.05,203127.0
20,028150,GS홈쇼핑,8.18,0.86,985031.0
21,045890,GV,0.0,0.3,20824.0
22,078150,HB테크놀러지,77.2,1.56,250005.0
23,036640,HRS,97.67,1.31,95839.0
24,335870,IBKS제12호스팩,0.0,0.0,6786.0
25,351340,IBKS제13호스팩,0.0,0.0,10831.0
26,351320,IBKS제14호스팩,0.0,0.0,9093.0
27,373200,IBKS제15호스팩,0.0,0.0,7392.0
28,095340,ISC,69.94,1.81,352877.0
29,099520,ITX-AI,0.0,2.15,37653.0
30,067290,JW신약,170.3,3.71,246925.0
31,035900,JYP Ent.,37.59,7.95,1263711.0
32,024840,KBI메탈,11.68,0.84,75457.0
33,024120,KB오토시스,10.54,1.1,112700.0
34,021320,KCC건설,6.93,0.52,195596.0
35,036670,KCI,8.99,1.65,107516.0
36,044180,KD,0.0,0.52,18508.0
37,151860,KG ETS,2.29,0.95,229680.0
38,046440,KG모빌리언스,15.98,1.31,383985.0
39,035600,KG이니시스,10.64,2.2,548322.0
40,060720,KH바텍,0.0,2.78,526744.0
41,122450,KMH,34.28,2.37,519097.0
42,052900,KMH하이텍,41.56,1.47,93537.0
43,058400,KNN,32.79,1.35,264859.0
44,114450,KPX생명과학,104.5,2.08,125400.0
45,036030,KTH,283.75,1.98,405365.0
46,060370,KT서브마린,255.83,1.31,134466.0
47,065150,MP그룹,81.36,3.55,111370.0
48,219550,MP한강,0.0,1.86,79429.0
49,160550,NEW,0.0,3.32,368361.0
50,053290,NE능률,203.39,3.09,198316.0
51,104200,NHN벅스,19.21,1.44,97120.0
52,060250,NHN한국사이버결제,48.17,9.65,1150867.0
53,030190,NICE평가정보,37.17,6.87,1539121.0
54,078590,OQP,0.0,8.8,306239.0
55,178920,PI첨단소재,75.79,5.34,1342041.0
56,024940,PN풍년,9.12,1.37,52600.0
57,218410,RFHIC,44.52,4.57,909787.0
58,091340,S&K폴리텍,3.74,0.67,59923.0
59,019550,SBI인베스트먼트,24.65,3.0,283617.0
60,046140,SBS콘텐츠허브,273.08,0.98,152391.0
61,036120,SCI평가정보,33.12,7.66,165785.0
62,099220,SDN,32.58,1.85,145982.0
63,036540,SFA반도체,51.71,3.65,1241675.0
64,255220,SG,6.62,0.99,70553.0
65,040610,SG&G,58.78,0.41,98171.0
66,049470,SGA,0.0,1.77,49788.0
67,184230,SGA솔루션즈,0.0,2.89,55884.0
68,016250,SGC이테크건설,8.46,0.59,85711.0
69,307070,SK4호스팩,0.0,0.0,10552.0
70,337450,SK5호스팩,0.0,0.0,9029.0
71,340350,SK6호스팩,0.0,0.0,11734.0
72,036490,SK머티리얼즈,23.03,6.95,3280326.0
73,048550,SM C&C,45.5,1.47,172190.0
74,063440,SM Life Design,0.0,3.1,151408.0
75,289080,SV인베스트먼트,0.0,4.46,238754.0
76,089230,THE E&M,0.0,1.9,182959.0
77,161570,THE MIDONG,0.0,0.87,28283.0
78,032540,TJ미디어,60.94,0.69,54333.0
79,048770,TPC,0.0,2.13,60665.0
80,246690,TS인베스트먼트,24.3,3.41,118825.0
81,317240,TS트릴리온,0.0,0.0,74420.0
82,038340,UCI,0.0,0.4,16642.0
83,073570,WI,75.25,2.81,117153.0
84,052300,W홀딩컴퍼니,0.0,0.71,97322.0
85,057030,YBM넷,65.55,2.79,117615.0
86,040300,YTN,0.0,0.9,165900.0
87,051390,YW,21.61,0.75,53484.0
88,052220,iMBC,49.68,2.04,106260.0
89,079940,가비아,18.83,2.87,210480.0
90,078890,가온미디어,9.76,1.14,179972.0
91,192410,감마누,6.34,0.26,129907.0
92,217730,강스템바이오텍,0.0,2.33,174892.0
93,114190,강원,0.0,2.06,45387.0
94,094480,갤럭시아머니트리,35.71,3.55,326392.0
95,063080,게임빌,23.29,1.29,324154.0
96,044480,경남바이오파마,0.0,0.8,55754.0
97,039240,경남스틸,15.03,0.8,69875.0
98,053950,경남제약,0.0,1.96,122447.0
