,종목코드,1주당매출액,종가
0,058820,464.1000040290226,4385
1,000990,21079.944389222463,56300
2,050120,364.5892912301504,5120
3,097230,20350.02860006681,7460
4,023150,6949.539108488606,8710
5,002360,822.0215230785469,940
6,009160,4158.477192464637,3240
7,100840,30638.08330972113,17700
8,036530,1552.3727288083344,18550
9,011810,39968.87093574045,6050
10,002710,14476.227235090077,4510
11,079940,4735.41085917786,15550
12,217730,14.079453133084554,6850
13,035250,2231.811452249574,25300
14,114190,2112.1098307780194,2500
15,011420,709.2503264289005,1790
16,002100,7636.788733043669,13600
17,009450,58583.488689910366,50900
18,267290,184215.2011244009,19650
19,012320,3256.0448672169364,40600
20,000050,8245.838395901263,13200
21,214390,9005.159816052797,12150
22,012610,5252.316050192123,6680
23,198440,2194.584077028239,3910
24,098460,11439.67719351704,115000
25,035290,1610.3266090484672,1305
26,038530,423.38528482225337,1270
27,215000,44782.925910079255,90100
28,121440,1341.859799203573,7130
29,014200,1969.932467325548,1700
30,017040,2596.730023098872,2405
31,029480,410.9239649440472,632
32,037710,92192.78375,169500
33,053270,3214.3907591122197,4870
34,005320,5739.4224573697575,4075
35,001140,2183.056427353879,2230
36,066620,33841.425866666665,21750
37,043650,2819.1735340601213,8030
38,006050,1845.12416205269,2850
39,307750,16092.430339321358,6940
40,035080,2891.9924273504275,4865
41,204020,5949.044667235474,3150
42,186230,11514.6696501627,12450
43,083450,16543.741538322844,21800
44,001570,2745.36926478272,4300
45,214330,7037.415815124861,2240
46,036190,34298.35766666666,29800
47,049080,724.439572026386,2025
48,035460,1837.5795584105197,2915
49,013700,3581.8549583764097,2195
50,308100,10176.338623857384,13350
51,187790,1408.6361831245272,1515
52,286750,1897.3104335581893,19250
53,121600,4472.9902741739215,28200
54,039860,1034.2093846308835,7110
55,190510,56565.84488022632,10600
56,089600,9372.987807336662,41200
57,138610,641.9392588836147,35950
58,130580,3915.648896103896,10100
59,034310,1028.994042072419,17100
60,267320,16384.52985074627,4500
61,008350,2436.712682960079,3930
62,004270,1848.7619352173413,3970
63,168330,642.2726857900934,2525
64,094860,187.06012201783892,2200
65,253590,1260.3075447749527,3525
66,212560,14920.63340488076,8540
67,095660,10234.922524326708,23400
68,042420,111.73636363020508,36300
69,311390,3029.11612069833,7840
70,085910,3462.038112971888,4030
71,092730,9925.994725953931,33550
72,290660,224.9703378589702,3050
73,306620,956.8697569166616,4120
74,153460,1812.7218410251492,6200
75,007390,273.2421633661843,9970
76,033640,11672.265284809077,37750
77,005720,6599.46051448513,4705
78,089140,817.570391980092,17450
79,137940,238.5135476056365,1335
80,160550,2302.0492719407,13200
81,225570,2822.728812318058,13250
82,217270,320.6184077754585,26800
83,104620,4177.714897233326,24300
84,090350,27750.7009,11000
85,000320,1434.6843249316782,12850
86,194700,24745.60016171058,40500
87,285490,3770.989913359108,38800
88,106520,312.35723333829384,539
89,278650,5906.981274281485,25950
90,006280,105057.68449133524,360500
91,142280,5255.917771239794,9940
92,234690,4258.779155979774,12550
93,005250,1675.2612740310549,34850
94,065560,1041.773700790895,5770
95,004370,346181.8333217704,283500
96,072710,4159.55228675727,75900
97,069140,6655.027327852978,7360
98,040160,5587.927288170952,7120
99,332290,,2100
100,060260,1269.332246607096,1490
101,012340,1592.6922003899415,3755
102,270870,18858.549868815586,29350
103,144960,1993.496023253353,6290
104,085670,7441.708298987348,1830
105,119860,12318.022455678556,33400
106,064260,3158.2613659533467,8500
