번호,종목코드,종목명,시장구분,정지일
33,033790,스카이문스테크놀로지,KOSDAQ,2020/01/28
14,141020,디에스앤엘,KOSDAQ,2020/03/13
38,058220,아리온,KOSDAQ,2020/03/19
41,121890,에스디시스템,KOSDAQ,2020/03/19
57,160600,이큐셀,KOSDAQ,2020/03/20
40,263540,어스앤에어로스페이스,KOSDAQ,2020/03/23
64,109070,컨버즈,KOSPI,2020/03/30
63,223310,커머스마이너,KOSDAQ,2020/04/21
68,058530,파나케이아,KOSDAQ,2020/09/07
19,257370,명성티엔에스,KOSDAQ,2020/12/15
35,003620,쌍용차,KOSPI,2020/12/21
66,056000,코원플레이,KOSDAQ,2021/01/04
59,058420,제이웨이,KOSDAQ,2021/02/04
75,101680,한국정밀기계,KOSDAQ,2021/02/05
12,006580,대양제지,KOSDAQ,2021/02/08
42,103230,에스앤더블류,KOSDAQ,2021/02/15
9,065560,녹원씨엔아이,KOSDAQ,2021/03/11
55,178780,유테크,KOSDAQ,2021/03/17
37,103660,씨앗,KONEX,2021/03/19
60,033340,좋은사람들,KOSDAQ,2021/03/22
13,078590,디아크,KOSDAQ,2021/03/23
65,069110,코스온,KOSDAQ,2021/03/23
5,099520,ITX-AI,KOSDAQ,2021/03/26
6,038340,UCI,KOSDAQ,2021/03/30
31,012600,센트럴인사이트,KOSPI,2021/03/30
36,015540,쎌마테라퓨틱스,KOSPI,2021/03/30
