,종목코드,시장구분
0,060310,KOSDAQ
1,054620,KOSDAQ
2,265520,KOSDAQ
3,211270,KOSDAQ
4,013720,KOSDAQ
5,035760,KOSDAQ
6,051500,KOSDAQ
7,058820,KOSDAQ
8,023460,KOSDAQ
9,056730,KOSDAQ
10,056000,KOSDAQ
11,065770,KOSDAQ
12,083660,KOSDAQ
13,367340,KOSDAQ
14,367360,KOSDAQ
15,068790,KOSDAQ
16,241520,KOSDAQ
17,245620,KOSDAQ
18,037370,KOSDAQ
19,079190,KOSDAQ
20,050120,KOSDAQ
21,214270,KOSDAQ
22,130500,KOSDAQ
23,900290,KOSDAQ
24,083450,KOSDAQ
25,045890,KOSDAQ
26,297890,KOSDAQ
27,078150,KOSDAQ
28,195940,KOSDAQ
29,036640,KOSDAQ
30,335870,KOSDAQ
31,351340,KOSDAQ
32,351320,KOSDAQ
33,373200,KOSDAQ
34,388790,KOSDAQ
35,095340,KOSDAQ
36,099520,KOSDAQ
37,950170,KOSDAQ
38,067290,KOSDAQ
39,035900,KOSDAQ
40,024840,KOSDAQ
41,024120,KOSDAQ
42,021320,KOSDAQ
43,036670,KOSDAQ
44,044180,KOSDAQ
45,151860,KOSDAQ
46,046440,KOSDAQ
47,035600,KOSDAQ
48,226360,KOSDAQ
49,111870,KOSDAQ
50,060720,KOSDAQ
51,122450,KOSDAQ
52,052900,KOSDAQ
53,058400,KOSDAQ
54,114450,KOSDAQ
55,060370,KOSDAQ
56,108320,KOSDAQ
57,160550,KOSDAQ
58,053290,KOSDAQ
59,104200,KOSDAQ
60,060250,KOSDAQ
61,030190,KOSDAQ
62,078590,KOSDAQ
63,024940,KOSDAQ
64,218410,KOSDAQ
65,327260,KOSDAQ
66,091340,KOSDAQ
67,019550,KOSDAQ
68,950110,KOSDAQ
69,046140,KOSDAQ
70,036120,KOSDAQ
71,099220,KOSDAQ
72,036540,KOSDAQ
73,255220,KOSDAQ
74,040610,KOSDAQ
75,049470,KOSDAQ
76,184230,KOSDAQ
77,016250,KOSDAQ
78,337450,KOSDAQ
79,340350,KOSDAQ
80,036490,KOSDAQ
81,048550,KOSDAQ
82,063440,KOSDAQ
83,950180,KOSDAQ
84,289080,KOSDAQ
85,089230,KOSDAQ
