,종목코드,시장구분
0,095570,KOSPI
1,006840,KOSPI
2,027410,KOSPI
3,282330,KOSPI
4,138930,KOSPI
5,001460,KOSPI
6,001465,KOSPI
7,001040,KOSPI
8,079160,KOSPI
9,00104K,KOSPI
10,000120,KOSPI
11,011150,KOSPI
12,011155,KOSPI
13,001045,KOSPI
14,097950,KOSPI
15,097955,KOSPI
16,000590,KOSPI
17,012030,KOSPI
18,016610,KOSPI
19,005830,KOSPI
20,000990,KOSPI
21,000995,KOSPI
22,139130,KOSPI
23,001530,KOSPI
24,000210,KOSPI
25,001880,KOSPI
26,000215,KOSPI
27,375500,KOSPI
28,37550K,KOSPI
29,004840,KOSPI
30,155660,KOSPI
31,069730,KOSPI
32,017940,KOSPI
33,365550,KOSPI
34,383220,KOSPI
35,007700,KOSPI
36,114090,KOSPI
37,078930,KOSPI
38,006360,KOSPI
39,001250,KOSPI
40,007070,KOSPI
41,078935,KOSPI
42,012630,KOSPI
43,039570,KOSPI
44,089470,KOSPI
45,294870,KOSPI
46,011200,KOSPI
47,082740,KOSPI
48,003560,KOSPI
49,175330,KOSPI
50,234080,KOSPI
51,001060,KOSPI
52,001067,KOSPI
53,001065,KOSPI
54,096760,KOSPI
55,105560,KOSPI
56,002380,KOSPI
57,344820,KOSPI
58,009070,KOSPI
59,009440,KOSPI
60,119650,KOSPI
61,092220,KOSPI
62,016380,KOSPI
63,016385,KOSPI
64,001390,KOSPI
65,033180,KOSPI
66,001940,KOSPI
67,025000,KOSPI
68,092230,KOSPI
69,000040,KOSPI
70,044450,KOSPI
71,030200,KOSPI
72,033780,KOSPI
73,030210,KOSPI
74,058850,KOSPI
75,058860,KOSPI
76,093050,KOSPI
77,003550,KOSPI
78,034220,KOSPI
79,051900,KOSPI
80,051905,KOSPI
81,003555,KOSPI
82,032640,KOSPI
83,011070,KOSPI
84,066570,KOSPI
85,066575,KOSPI
86,037560,KOSPI
87,051910,KOSPI
88,051915,KOSPI
89,079550,KOSPI
90,006260,KOSPI
91,010120,KOSPI
92,000680,KOSPI
93,229640,KOSPI
94,001120,KOSPI
95,108670,KOSPI
96,108675,KOSPI
97,383800,KOSPI
98,38380K,KOSPI
99,023150,KOSPI
100,035420,KOSPI
101,181710,KOSPI
102,005940,KOSPI
103,005945,KOSPI
104,338100,KOSPI
105,034310,KOSPI
106,008260,KOSPI
107,004250,KOSPI
108,004255,KOSPI
109,010060,KOSPI
110,178920,KOSPI
111,005490,KOSPI
112,010950,KOSPI
113,010955,KOSPI
114,034120,KOSPI
115,101060,KOSPI
116,005090,KOSPI
117,001380,KOSPI
118,004060,KOSPI
119,001770,KOSPI
120,002360,KOSPI
121,009160,KOSPI
122,123700,KOSPI
123,025530,KOSPI
124,034730,KOSPI
125,011790,KOSPI
126,018670,KOSPI
127,001740,KOSPI
128,001745,KOSPI
129,006120,KOSPI
130,006125,KOSPI
131,210980,KOSPI
132,068400,KOSPI
133,395400,KOSPI
134,302440,KOSPI
135,326030,KOSPI
136,361610,KOSPI
137,03473K,KOSPI
138,096770,KOSPI
139,096775,KOSPI
140,001510,KOSPI
141,001515,KOSPI
142,285130,KOSPI
143,28513K,KOSPI
144,017670,KOSPI
145,000660,KOSPI
146,064960,KOSPI
147,100840,KOSPI
148,003570,KOSPI
149,036530,KOSPI
150,005610,KOSPI
151,011810,KOSPI
152,077970,KOSPI
153,071970,KOSPI
154,002820,KOSPI
155,084870,KOSPI
156,002710,KOSPI
157,002900,KOSPI
158,024070,KOSPI
159,037270,KOSPI
160,000500,KOSPI
161,000860,KOSPI
162,035250,KOSPI
163,011420,KOSPI
164,002100,KOSPI
165,009450,KOSPI
166,267290,KOSPI
167,012320,KOSPI
168,000050,KOSPI
169,214390,KOSPI
170,012610,KOSPI
171,009140,KOSPI
172,013580,KOSPI
173,012200,KOSPI
174,012205,KOSPI
175,002140,KOSPI
176,010130,KOSPI
177,002240,KOSPI
178,009290,KOSPI
179,017040,KOSPI
180,017900,KOSPI
181,037710,KOSPI
182,030610,KOSPI
183,339770,KOSPI
184,007690,KOSPI
185,005320,KOSPI
186,001140,KOSPI
187,002720,KOSPI
188,083420,KOSPI
189,014530,KOSPI
190,014280,KOSPI
191,014285,KOSPI
192,008870,KOSPI
193,001570,KOSPI
194,002990,KOSPI
