,종목코드,업종명
0,060310,기계·장비
1,054620,금융
2,265520,반도체
3,211270,통신장비
4,013720,운송장비·부품
5,035760,방송서비스
6,051500,유통
7,058820,제약
8,023460,금융
9,056730,유통
10,056000,디지털컨텐츠
11,065770,통신장비
12,083660,화학
13,367340,금융
14,367360,금융
15,068790,기계·장비
16,241520,금융
17,245620,기타서비스
18,037370,건설
19,079190,통신장비
20,050120,유통
21,214270,출판·매체복제
22,130500,섬유·의류
23,900290,금융
24,083450,반도체
25,045890,일반전기전자
26,297890,기계·장비
27,078150,기계·장비
28,195940,제약
29,036640,화학
30,335870,금융
31,351340,금융
32,351320,금융
33,373200,금융
34,388790,금융
35,095340,반도체
36,099520,통신장비
37,950170,유통
38,067290,제약
39,035900,오락·문화
40,024840,금속
41,024120,운송장비·부품
42,021320,건설
43,036670,화학
44,044180,건설
45,151860,기타서비스
46,046440,소프트웨어
47,035600,소프트웨어
48,226360,건설
49,111870,일반전기전자
50,060720,IT부품
51,122450,방송서비스
52,052900,반도체
53,058400,방송서비스
54,114450,제약
55,060370,건설
56,108320,반도체
57,160550,오락·문화
58,053290,출판·매체복제
59,104200,디지털컨텐츠
60,060250,소프트웨어
61,030190,기타서비스
62,078590,운송장비·부품
63,024940,금속
64,218410,일반전기전자
65,327260,기타제조
66,091340,IT부품
67,019550,금융
68,950110,출판·매체복제
69,046140,오락·문화
70,036120,기타서비스
71,099220,유통
72,036540,반도체
73,255220,비금속
74,040610,운송장비·부품
75,049470,소프트웨어
76,184230,소프트웨어
77,016250,건설
78,337450,금융
79,340350,금융
80,036490,반도체
81,048550,방송서비스
82,063440,출판·매체복제
83,950180,출판·매체복제
84,289080,금융
85,089230,인터넷
86,161570,정보기기
87,192410,통신장비
88,032540,일반전기전자
89,048770,기계·장비
90,246690,금융
91,317240,화학
92,038340,기타서비스
93,073570,기타제조
94,057030,기타서비스
95,040300,방송서비스
96,051390,유통
97,052220,디지털컨텐츠
98,079940,인터넷
99,078890,통신장비
100,036620,유통
101,217730,제약
102,114190,금속
103,094480,소프트웨어
104,063080,디지털컨텐츠
105,039240,금속
106,053950,제약
107,223310,소프트웨어
108,011040,제약
109,024910,운송장비·부품
110,198440,비금속
111,049720,기타서비스
112,014570,제약
113,348150,기타서비스
114,098460,기계·장비
115,035290,출판·매체복제
116,038530,유통
117,900280,금융
118,215000,소프트웨어
119,121440,유통
120,014200,운송장비·부품
121,026910,금속
122,090150,운송장비·부품
123,355150,금융
124,331520,금융
125,053270,운송장비·부품
126,066620,건설
127,043650,음식료·담배
128,006050,비금속
129,060480,금속
130,078130,종이·목재
131,307750,제약
132,204020,섬유·의류
133,186230,금속
134,900070,금융
135,204620,금융
136,019660,유통
137,053260,금속
138,036190,건설
139,049080,반도체
140,035460,통신장비
141,308100,유통
142,187790,화학
143,286750,화학
144,151910,IT부품
145,121600,화학
146,247660,일반전기전자
147,039860,의료·정밀기기
148,091970,화학
149,051490,기계·장비
150,190510,IT부품
151,242040,출판·매체복제
152,089600,기타서비스
153,293580,금융
154,138610,제약
155,130580,기타서비스
156,036800,통신서비스
157,267320,IT부품
158,111710,오락·문화
159,091590,건설
160,168330,기타서비스
161,094860,소프트웨어
162,253590,반도체
163,212560,운송장비·부품
164,095660,디지털컨텐츠
165,042420,디지털컨텐츠
166,950220,기타서비스
167,311390,음식료·담배
168,085910,운송장비·부품
169,092730,화학
170,290660,의료·정밀기기
171,306620,기계·장비
172,153460,소프트웨어
173,007390,제약
174,033640,반도체
175,330860,반도체
176,089140,비금속
177,065170,유통
178,137940,의료·정밀기기
179,348210,반도체
180,041140,디지털컨텐츠
181,217270,출판·매체복제
182,225570,디지털컨텐츠
183,104620,기타서비스
184,194700,음식료·담배
185,285490,기타제조
186,278650,기타서비스
187,144510,기타서비스
188,031390,제약
189,142280,제약
190,234690,제약
191,065560,출판·매체복제
192,054050,"농업, 임업 및 어업"
193,069140,금속
194,040160,소프트웨어
195,126870,기계·장비
196,060260,화학
197,012340,IT부품
198,214870,유통
199,270870,음식료·담배
200,144960,기계·장비
201,085670,IT부품
202,119860,인터넷
203,064260,디지털컨텐츠
204,093640,반도체
205,340360,통신장비
206,039560,통신장비
207,032190,유통
208,068240,IT부품
209,020400,금속
210,008830,기계·장비
211,048470,금속
212,004780,금속
213,017650,종이·목재
214,007720,유통
215,317850,기계·장비
216,290670,기계·장비
217,078140,제약
218,036480,제약
219,025440,일반전기전자
220,027830,금융
221,104040,운송장비·부품
222,387310,금융
223,332290,금융
224,336570,금융
225,369370,금융
226,020180,컴퓨터서비스
227,045390,일반전기전자
228,108380,운송장비·부품
229,006580,종이·목재
230,007680,건설
231,048910,유통
232,005710,운송장비·부품
233,290380,화학
234,290120,운송장비·부품
235,120240,화학
236,003310,음식료·담배
237,078600,IT부품
238,096350,금속
