,종목코드,업종명
0,095570,서비스업
1,006840,기타금융
2,027410,기타금융
3,282330,유통업
4,138930,기타금융
5,001460,섬유의복
6,001465,섬유의복
7,001040,기타금융
8,079160,서비스업
9,00104K,기타금융
10,000120,운수창고업
11,011150,음식료품
12,011155,음식료품
13,001045,기타금융
14,097950,음식료품
15,097955,음식료품
16,000590,기타금융
17,012030,서비스업
18,016610,증권
19,005830,보험
20,000990,전기전자
21,000995,전기전자
22,139130,기타금융
23,001530,유통업
24,000210,기타금융
25,001880,건설업
26,000215,기타금융
27,375500,건설업
28,37550K,건설업
29,004840,화학
30,155660,철강금속
31,069730,철강금속
32,017940,유통업
33,365550,서비스업
34,383220,섬유의복
35,007700,섬유의복
36,114090,서비스업
37,078930,기타금융
38,006360,건설업
39,001250,유통업
40,007070,유통업
41,078935,기타금융
42,012630,기타금융
43,039570,건설업
44,089470,화학
45,294870,건설업
46,011200,운수창고업
47,082740,기계
48,003560,서비스업
49,175330,기타금융
50,234080,의약품
51,001060,의약품
52,001067,의약품
53,001065,의약품
54,096760,기타금융
55,105560,기타금융
56,002380,화학
57,344820,비금속광물
58,009070,운수창고업
59,009440,기타금융
60,119650,기계
61,092220,전기전자
62,016380,철강금속
63,016385,철강금속
64,001390,화학
65,033180,전기전자
66,001940,철강금속
67,025000,화학
68,092230,화학
69,000040,운수장비
70,044450,운수창고업
71,030200,통신업
72,033780,기타제조업
73,030210,증권
74,058850,서비스업
75,058860,서비스업
76,093050,섬유의복
77,003550,기타금융
78,034220,전기전자
79,051900,화학
80,051905,화학
81,003555,기타금융
82,032640,통신업
83,011070,전기전자
84,066570,전기전자
85,066575,전기전자
86,037560,서비스업
87,051910,화학
88,051915,화학
89,079550,기계
90,006260,기타금융
91,010120,전기전자
92,000680,유통업
93,229640,기타금융
94,001120,유통업
95,108670,화학
96,108675,화학
97,383800,기타금융
98,38380K,기타금융
99,023150,음식료품
100,035420,서비스업
101,181710,서비스업
102,005940,증권
103,005945,증권
104,338100,서비스업
105,034310,서비스업
106,008260,철강금속
107,004250,화학
108,004255,화학
109,010060,화학
110,178920,화학
111,005490,철강금속
112,010950,화학
113,010955,화학
114,034120,서비스업
115,101060,서비스업
116,005090,전기가스업
117,001380,운수장비
118,004060,유통업
119,001770,철강금속
120,002360,화학
121,009160,기계
122,123700,운수장비
123,025530,유통업
124,034730,기타금융
125,011790,화학
126,018670,유통업
127,001740,유통업
128,001745,유통업
129,006120,기타금융
130,006125,기타금융
131,210980,서비스업
132,068400,서비스업
133,395400,서비스업
134,302440,의약품
135,326030,서비스업
136,361610,전기전자
137,03473K,기타금융
138,096770,화학
139,096775,화학
140,001510,증권
141,001515,증권
142,285130,화학
143,28513K,화학
144,017670,통신업
145,000660,전기전자
146,064960,운수장비
147,100840,기계
148,003570,운수장비
149,036530,기타금융
150,005610,음식료품
151,011810,유통업
152,077970,기계
153,071970,기계
154,002820,종이목재
155,084870,섬유의복
156,002710,철강금속
157,002900,기계
158,024070,화학
159,037270,서비스업
160,000500,전기전자
161,000860,화학
162,035250,서비스업
163,011420,서비스업
164,002100,화학
165,009450,전기전자
166,267290,전기가스업
167,012320,기타금융
168,000050,유통업
169,214390,의약품
170,012610,화학
171,009140,전기전자
172,013580,건설업
173,012200,기계
174,012205,기계
175,002140,음식료품
176,010130,철강금속
177,002240,철강금속
178,009290,의약품
179,017040,전기전자
180,017900,전기전자
181,037710,유통업
182,030610,증권
183,339770,유통업
184,007690,화학
185,005320,유통업
186,001140,운수창고업
187,002720,의약품
188,083420,화학
189,014530,화학
190,014280,철강금속
191,014285,철강금속
192,008870,비금속광물
193,001570,화학
194,002990,건설업
195,002995,건설업
196,011780,화학
197,011785,화학
198,214330,운수장비
199,001210,전기전자
200,073240,화학
201,092440,기계
202,000270,운수장비
203,024110,은행
204,013700,건설업
205,004540,종이목재
206,004545,종이목재
207,001260,건설업
208,008350,철강금속
209,008355,철강금속
210,004270,유통업
211,003920,음식료품
212,003925,음식료품
213,025860,화학
214,005720,화학
215,005725,화학
216,002350,화학
217,002355,화학
218,003580,광업
219,251270,서비스업
220,090350,화학
221,090355,화학
222,000320,기타금융
223,000325,기타금융
224,006280,의약품
225,005250,서비스업
226,005257,서비스업
227,004370,음식료품
228,072710,기타금융
229,058730,기계
230,023590,서비스업
231,145210,기계
232,019680,서비스업
233,019685,서비스업
234,006370,유통업
235,008060,기타금융
236,00806K,기타금융
237,353200,전기전자
238,35320K,전기전자
239,000490,기계
240,008110,전기전자
241,005750,비금속광물
242,006570,기계
243,001680,음식료품
244,001685,음식료품
245,084690,기타금융
246,084695,기타금융
247,128820,유통업
248,117580,전기가스업
249,016710,서비스업
250,003540,증권
251,003547,증권
252,003545,증권
253,009190,철강금속
254,014160,종이목재
255,047040,건설업
256,009320,운수장비
257,042660,운수장비
258,003090,기타금융
259,069620,의약품
260,000430,운수장비
261,006340,전기전자
262,006345,전기전자
263,003220,의약품
264,024890,화학
265,002880,운수장비
266,000300,전기전자
267,012800,철강금속
268,015230,운수장비
269,001070,섬유의복
270,006650,화학
271,001440,전기전자
272,084010,철강금속
273,001790,음식료품
274,001795,음식료품
275,001130,음식료품
276,003490,운수창고업
277,003495,운수창고업
278,005880,운수창고업
279,003830,화학
280,016090,섬유의복
281,069460,철강금속
282,192080,서비스업
283,012510,서비스업
284,004830,화학
285,004835,화학
286,024900,운수장비
287,145720,의료정밀
288,002150,서비스업
289,001230,철강금속
290,023450,화학
291,004140,운수창고업
292,007590,화학
293,005960,건설업
294,005965,건설업
295,026960,유통업
296,002210,의약품
297,102260,서비스업
298,000640,기타금융
299,170900,의약품
300,028100,건설업
301,282690,화학
302,001520,비금속광물
303,001527,비금속광물
304,001529,비금속광물
305,084670,운수창고업
306,082640,보험
307,001525,비금속광물
308,008970,철강금속
309,092780,운수장비
310,049770,음식료품
311,018500,운수장비
312,006040,"농업, 임업 및 어업"
313,030720,"농업, 임업 및 어업"
314,014820,화학
315,014825,화학
316,163560,화학
317,004890,철강금속
318,002690,철강금속
319,000020,의약품
320,000150,서비스업
321,000157,서비스업
322,241560,기계
323,000155,서비스업
324,034020,기계
325,336260,전기전자
326,33626K,전기전자
327,33626L,전기전자
328,016740,운수장비
329,192650,전기전자
330,024090,철강금속
331,003160,의료정밀
332,092200,운수장비
333,377190,서비스업
334,013570,기타금융
335,210540,기계
336,007340,전기전자
337,026890,전기전자
338,115390,화학
339,032350,서비스업
340,089860,서비스업
341,330590,서비스업
342,000400,보험
343,023530,유통업
344,004000,화학
345,286940,서비스업
346,280360,음식료품
347,004990,기타금융
348,00499K,기타금융
349,005300,음식료품
350,005305,음식료품
351,011170,화학
352,002270,음식료품
353,071840,유통업
354,027740,음식료품
355,204320,운수장비
356,001080,철강금속
357,088980,기타금융
358,094800,기타금융
359,138040,기타금융
360,008560,증권
361,000060,보험
362,090370,섬유의복
363,017180,의약품
364,009900,운수장비
365,012690,종이목재
366,005360,유통업
367,204210,서비스업
368,009680,운수장비
369,009580,종이목재
370,009200,종이목재
371,033920,음식료품
372,008420,철강금속
373,025560,의료정밀
374,007120,서비스업
375,357250,서비스업
376,085620,보험
377,006800,증권
378,00680K,증권
379,006805,증권
380,002840,화학
381,268280,화학
382,107590,기타금융
383,134380,화학
384,003650,화학
385,155900,서비스업
386,003610,섬유의복
387,001340,화학
388,035150,화학
389,002410,건설업
390,096300,기타금융
391,007210,비금속광물
392,002760,화학
393,003850,의약품
394,000890,음식료품
395,003000,의약품
396,001270,증권
397,001275,증권
398,026940,철강금속
399,015350,전기가스업
400,011390,비금속광물
401,005030,운수장비
402,002070,섬유의복
403,100220,서비스업
404,030790,서비스업
405,005180,음식료품
406,003960,음식료품
407,008040,음식료품
408,007160,"농업, 임업 및 어업"
409,014710,음식료품
410,006090,음식료품
411,001470,건설업
412,006400,전기전자
413,006405,전기전자
414,006660,운수장비
415,028260,유통업
416,02826K,유통업
417,207940,의약품
418,032830,보험
419,018260,서비스업
420,028050,서비스업
421,009150,전기전자
422,009155,전기전자
423,005930,전기전자
424,005935,전기전자
425,001360,의약품
426,010140,운수장비
427,010145,운수장비
428,016360,증권
429,068290,서비스업
430,029780,기타금융
431,000810,보험
432,000815,보험
433,006110,철강금속
434,145990,음식료품
435,145995,음식료품
436,003230,음식료품
437,002170,기타제조업
438,272550,화학
439,000070,기타금융
440,000075,기타금융
441,002810,유통업
442,005680,전기전자
443,003720,화학
444,023000,운수장비
445,004380,기계
446,002450,기타제조업
447,004440,비금속광물
448,000520,의약품
449,009770,종이목재
450,005500,의약품
451,004690,전기가스업
452,010960,건설업
453,004450,기계
454,009470,전기전자
455,011230,전기전자
456,001820,전기전자
457,000390,화학
458,001290,증권
459,041650,운수장비
460,075180,운수장비
461,007540,기타금융
462,248170,음식료품
463,007860,기타금융
464,200880,운수장비
465,017390,전기가스업
466,004410,음식료품
467,004415,음식료품
468,021050,철강금속
469,008490,화학
470,007610,전기전자
471,136490,음식료품
472,014910,전기전자
473,014915,전기전자
474,003080,화학
475,004980,비금속광물
476,004985,비금속광물
477,011300,섬유의복
478,000180,서비스업
479,002420,서비스업
480,004360,운수창고업
481,004365,운수창고업
482,004490,전기전자
483,001430,철강금속
484,306200,철강금속
485,003030,기타금융
486,019440,철강금속
487,058650,철강금속
488,013000,유통업
489,091090,기계
490,021820,운수장비
491,067830,유통업
492,033530,운수장비
493,075580,운수장비
494,027970,종이목재
495,308170,운수장비
496,012600,기계
497,068270,의약품
498,336370,전기전자
499,33637K,전기전자
500,33637L,전기전자
501,248070,전기전자
502,004430,화학
503,017550,기계
504,053210,서비스업
505,134790,기타제조업
506,016590,종이목재
507,029530,전기전자
508,004970,"농업, 임업 및 어업"
509,011930,전기전자
510,005390,유통업
511,004170,유통업
512,035510,서비스업
513,034300,건설업
514,031430,유통업
515,031440,서비스업
516,006880,유통업
517,005800,섬유의복
518,001720,증권
519,001725,증권
520,009270,섬유의복
521,009275,섬유의복
522,002700,유통업
523,019170,의약품
524,019175,의약품
525,002870,종이목재
526,293940,서비스업
527,055550,기타금융
528,004080,유통업
529,102280,섬유의복
530,003410,비금속광물
531,003620,운수장비
532,004770,전기전자
533,015540,서비스업
534,004920,기타제조업
535,112610,기계
536,008700,전기전자
537,002790,화학
538,00279K,화학
539,002795,화학
540,090430,화학
541,090435,화학
542,002030,서비스업
543,183190,비금속광물
544,002310,종이목재
545,012170,서비스업
546,267850,서비스업
547,020560,운수창고업
548,122900,유통업
549,010780,비금속광물
550,139990,철강금속
551,001780,철강금속
552,018250,화학
553,161000,화학
554,011090,기타제조업
555,137310,의료정밀
556,005850,운수장비
557,012750,서비스업
558,023960,건설업
559,298690,운수창고업
560,140910,서비스업
561,078520,화학
562,015260,전기전자
563,007460,기계
564,003060,의약품
565,244920,기타금융
566,036570,서비스업
567,138250,유통업
568,380440,기타금융
569,085310,기계
570,009810,유통업
571,900140,유통업
572,097520,전기전자
573,014440,화학
574,111770,유통업
575,009970,기타금융
576,003520,의약품
577,000670,철강금속
578,006740,종이목재
579,012280,운수장비
580,012160,철강금속
581,015360,기타금융
582,007310,음식료품
583,002630,의약품
584,271560,음식료품
585,001800,기타금융
586,011690,전기전자
587,070960,서비스업
588,316140,기타금융
589,118000,유통업
590,010050,기타금융
591,006980,음식료품
592,017370,기계
593,105840,의료정밀
594,010400,건설업
595,049800,기계
596,016880,기타금융
597,095720,서비스업
598,005820,섬유의복
599,010600,유통업
600,008600,유통업
601,033270,의약품
602,014830,화학
603,000910,비금속광물
604,047400,비금속광물
605,011330,기타제조업
606,077500,유통업
607,002920,운수장비
608,000700,서비스업
609,003470,증권
610,003475,증권
611,072130,서비스업
612,000220,의약품
613,000225,의약품
614,000227,의약품
615,001200,증권
616,000100,의약품
617,000105,의약품
618,003460,증권
619,003465,증권
620,008730,화학
621,008250,종이목재
622,025820,철강금속
623,214320,서비스업
624,088260,서비스업
625,139480,유통업
626,007660,전기전자
627,005950,화학
628,015020,서비스업
629,093230,유통업
630,074610,기계
631,102460,의약품
632,084680,기타제조업
633,350520,서비스업
634,334890,서비스업
635,000760,유통업
636,014990,섬유의복
637,101140,유통업
